"name","state_abbr","Year","population","violent_crime","homicide","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","mass_shootings"
America           ,"the USA",1979           ,220099000,1208030,21460,480700,629480,11041500,3327700,6601000,1112800,2
America           ,"the USA",1980           ,225349264,1344520,23040,565840,672650,12063700,3795200,7136900,1131700,0
America           ,"the USA",1981           ,229465714,1361820,22520,592910,663900,12061900,3779700,7194400,1087800,0
America           ,"the USA",1982           ,231664458,1322390,21010,553130,669480,11652000,3447100,7142500,1062400,2
America           ,"the USA",1983           ,233791994,1258087,19308,506567,653294,10850543,3129851,6712759,1007933,2
America           ,"the USA",1984           ,235824902,1273282,18692,485008,685349,10608473,2984434,6591874,1032165,3
America           ,"the USA",1985           ,237923795,1327767,18976,497874,723246,11102590,3073348,6926380,1102862,2
America           ,"the USA",1986           ,240132887,1489169,20613,542775,834322,11722700,3241410,7257153,1224137,3
America           ,"the USA",1987           ,242288918,1483999,20096,517704,855088,12024709,3236184,7499851,1288674,1
America           ,"the USA",1988           ,244498982,1566221,20675,542968,910092,12356865,3218077,7705872,1432916,6
America           ,"the USA",1989           ,246819230,1646037,21500,578326,951707,12605412,3168170,7872442,1564800,3
America           ,"the USA",1990           ,249464396,1820127,23438,639271,1054863,12655486,3073909,7945670,1635907,1
America           ,"the USA",1991           ,252153092,1911767,24703,687732,1092739,12961116,3157150,8142228,1661738,5
America           ,"the USA",1992           ,255029699,1932274,23760,672478,1126974,12505917,2979884,7915199,1610834,4
America           ,"the USA",1993           ,257782608,1926017,24526,659870,1135607,12218777,2834808,7820909,1563060,9
America           ,"the USA",1994           ,260327021,1857670,23326,618949,1113179,12131873,2712774,7879812,1539287,4
America           ,"the USA",1995           ,262803276,1798792,21606,580509,1099207,12063935,2593784,7997710,1472441,4
America           ,"the USA",1996           ,265228572,1688540,19645,535594,1037049,11805323,2506400,7904685,1394238,3
America           ,"the USA",1997           ,267783607,1636099,18211,498534,1023201,11558975,2461026,7743760,1354189,6
America           ,"the USA",1998           ,270248003,1533887,16974,447186,976583,10951827,2332735,7376311,1242781,5
America           ,"the USA",1999           ,272690813,1426044,15522,409371,911740,10208334,2100739,6955520,1152075,7
America           ,"the USA",2000           ,281421906,1425486,15586,408016,911706,10182584,2050992,6971590,1160002,1
America           ,"the USA",2001           ,285317559,1439480,16037,423557,909023,10437189,2116531,7092267,1228391,2
America           ,"the USA",2002           ,287973924,1423677,16229,420806,891407,10455277,2151252,7057379,1246646,2
America           ,"the USA",2003           ,290788976,1383676,16528,414235,859030,10442862,2154834,7026802,1261226,3
America           ,"the USA",2004           ,293656842,1360088,16148,401470,847381,10319386,2144446,6937089,1237851,2
America           ,"the USA",2005           ,296507061,1390745,16740,417438,862220,10174754,2155448,6783447,1235859,3
America           ,"the USA",2006           ,299398484,1435123,17309,449246,874096,10019601,2194993,6626363,1198245,6
America           ,"the USA",2007           ,301621157,1422970,17128,447324,866358,9882212,2190198,6591542,1100472,10
America           ,"the USA",2008           ,304059724,1394461,16465,443563,843683,9774152,2228887,6586206,959059,6
America           ,"the USA",2009           ,307006550,1325896,15399,408742,812514,9337060,2203313,6338095,795652,6
America           ,"the USA",2010           ,309330219,1251248,14722,369089,781844,9112625,2168459,6204601,739565,2
America           ,"the USA",2011           ,311587816,1206031,14661,354772,752423,9052743,2185140,6151095,716508,6
America           ,"the USA",2012           ,313873685,1217057,14856,355051,762009,9001992,2109932,6168874,723186,14
America           ,"the USA",2013           ,316497531,1168298,14319,345093,726777,8651892,1932139,6019465,700288,15
America           ,"the USA",2014           ,318907401,1153022,14164,322905,731089,8209010,1713153,5809054,686803,13
America           ,"the USA",2015           ,320896618,1199310,15883,328109,764057,8024115,1587564,5723488,713063,65
America           ,"the USA",2016           ,323405935,1285606,17413,332797,802982,7928530,1516405,5644835,767290,70
Alaska        ,AK,1979           ,406000,1994,54,445,1203,23193,5616,15076,2501,0
Alaska        ,AK,1980           ,440142,1919,39,360,1270,22930,5545,14916,2469,0
