year,state_abbr,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
1979,AK,406000,1994,54,445,1203,23193,5616,15076,2501
1980,AK,440142,1919,39,360,1270,22930,5545,14916,2469
1981,AK,412000,2537,60,472,1584,24634,5479,16310,2845
1982,AK,438000,2732,81,586,1691,24479,5204,16672,2603
1983,AK,479000,2940,66,465,1923,25889,5720,17085,3084
1984,AK,500000,3108,58,547,2045,27468,6184,18140,3144
1985,AK,521000,3031,51,484,2094,27588,6209,18220,3159
1986,AK,534000,3046,46,470,2142,30307,6204,20879,3224
1987,AK,525000,2391,53,384,1613,25841,5093,18195,2553
1988,AK,513000,2682,29,374,1983,22566,4321,15911,2334
1989,AK,527000,2623,42,356,1946,22567,4358,15811,2398
1990,AK,550043,2885,41,422,2021,25457,4919,17428,3110
1991,AK,570000,3499,42,645,2289,29000,5582,20375,3043
1992,AK,587000,3877,44,640,2614,28816,5170,20728,2918
1993,AK,599000,4557,54,733,3268,28795,4893,21201,2701
1994,AK,606000,4644,38,886,3302,29947,4848,21824,3275
1995,AK,604000,4656,55,937,3179,30097,5055,21891,3151
1996,AK,607000,4417,45,710,3264,28667,5118,20557,2992
1997,AK,609000,4270,54,648,3165,27840,4276,20780,2784
1998,AK,614000,4015,41,532,3021,25316,4098,18611,2607
1999,AK,619500,3908,52,566,2773,23099,3787,16654,2658
2000,AK,626932,3554,27,490,2540,23087,3899,16838,2350
2001,AK,633630,3735,39,514,2681,23160,3847,16695,2618
2002,AK,641482,3627,33,489,2594,24118,3908,17739,2471
2003,AK,648280,3877,39,446,2787,24386,3874,18051,2461
2004,AK,657755,4159,37,447,3117,22172,3773,16159,2240
2005,AK,663253,4194,32,537,3087,23975,4131,17249,2595
2006,AK,670053,4610,36,600,3462,23975,4155,17284,2536
2007,AK,683478,4520,43,581,3351,23096,3734,16929,2433
2008,AK,686293,4475,27,645,3356,20090,3237,15225,1628
2009,AK,698473,4424,22,654,3235,20538,3600,15251,1687
2010,AK,714146,4537,31,594,3379,20259,3105,15535,1619
2011,AK,723860,4416,30,576,3374,19094,2852,14854,1388
2012,AK,730307,4412,30,630,3169,20037,2950,15565,1522
2013,AK,737259,4709,34,623,3127,21211,2917,16599,1695
2014,AK,737046,4684,41,629,3243,20334,3150,15445,1739
2015,AK,737709,5391,59,761,3671,20806,3511,15249,2046
2016,AK,741522,5966,52,850,4011,24876,4053,17766,3057
2017,AK,739786,6338,62,952,4250,26203,4167,17782,4254
2018,AK,737438,6526,47,896,4391,24339,3979,16364,3996
1979,AL,3769000,15578,496,4127,9918,144372,48517,83791,12064
1980,AL,3861466,17320,509,5102,10551,173191,58952,102029,12210
1981,AL,3916000,18423,465,4952,11985,173411,56811,105471,11129
1982,AL,3943000,17653,417,4417,11793,165048,49531,104740,10777
1983,AL,3959000,16471,364,3895,11281,145890,42485,94279,9126
1984,AL,3990000,17204,374,3833,11995,138487,39970,89198,9319
1985,AL,4021000,18398,396,4237,12686,140115,41612,88108,10395
1986,AL,4053000,22616,409,4523,16534,151191,46974,93396,10821
1987,AL,4083000,22833,380,4581,16735,158918,48927,99260,10731
1988,AL,4127000,23052,408,4860,16556,165209,50920,103282,11007
1989,AL,4118000,24329,421,5515,17117,166244,47224,106771,12249
1990,AL,4040587,28630,467,5805,21039,169974,44585,111336,14053
1991,AL,4089000,34518,469,6246,26348,184882,51873,118151,14858
1992,AL,4136000,36052,455,6819,27074,181837,49053,117801,14983
1993,AL,4187000,32676,484,6677,24044,171598,45578,111878,14142
1994,AL,4219000,28844,501,7223,19633,178015,44064,119951,14000
