CODE,Title,Latitude,Longitude,Total Number of Victims
AL,Wetumpka Drive-by                                               ,32.5,-86.2,4
AL,Greenhill AL Family murder-suicide                              ,34.8,-86.6,3
AL,University of Alabama in Huntsville                             ,34.7,-86.7,6
AL,Alabama highway random shooting                                 ,34.2,-86.5,4
AL,Cottonwood                                                      ,31.1,-85.3,3
AK,Bethel Regional High School                                     ,60.8,-161.8,4
AZ,Tucson                                                          ,32.2,-111,4
AZ,Northern Arizona University at Flagstaff Campus                 ,35.2,-111.7,4
AZ,Rose-Mar College of Beauty                                      ,33.4,-111.8,6
AZ,Wat Promkunaram Buddhist Temple                                 ,33.6,-112.1,9
AZ,Glendale Arizona                                                ,33.6,-112.2,4
AZ,Phoenix                                                         ,33.6,-112.1,4
AR,Westside Middle School                                          ,35.8,-90.7,15
CA,Ladera Ranch Santa Ana Tustin and Orange                        ,33.5,-117.6,6
CA,Los Angeles Police Department                                   ,33.7,-117.8,7
CA,Orange Glenn Post Office                                        ,33.1,-117.1,4
CA,Caltrans Maintenance Yard                                       ,33.8,-117.8,6
CA,Long Beach Street murder                                        ,33.8,-118.2,4
CA,Covina California                                               ,34.1,-117.9,11
CA,Grover Cleveland Elementary School                              ,32.9,-117.1,11
CA,Santa Monica College                                            ,34,-118.5,8
CA,Cleveland Elementary School                                     ,38,-121.3,35
CA,Los Angeles International Airport (LAX)                         ,34.2,-118.5,4
CA,Offices of Pettit & Martin in San Francisco                     ,37.8,-122.4,14
CA,Isla Vista                                                      ,34.4,-119.9,10
CA,Riverside restaurant shooting                                   ,34,-117.5,4
CA,Rivermark Santa Clara California                                ,37.4,-122,6
CA,San Diego State University                                      ,32.9,-117.1,3
CA,Dana Point Post Office                                          ,33.5,-117.7,6
CA,McDonald's restaurant in San Ysidro                             ,32.6,-117,40
CO,Colorado Springs Colorado                                       ,38.9,-104.8,12
CO,Colorado Springs                                                ,38.9,-104.8,3
CO,Movie Theater in Aurora                                         ,39.7,-105,70
CT,Hartford Beer Distributors                                      ,41.8,-72.5,10
CT,Connecticut State Lottery Headquarters                          ,41.7,-72.7,4
FL,Radisson Bay Harbor Inn                                         ,28,-82.4,8
FL,Pinellas Park High School                                       ,27.8,-82.7,3
FL,Plantation Florida                                              ,26.1,-80.2,5
FL,Daytona Beach                                                   ,29.2,-81.1,4
FL,Tampa FL Strip club shooting                                    ,28,-82.5,8
FL,Hialeah Apartments                                              ,25.9,-80.3,6
FL,Orlando Florida                                                 ,28.5,-81.5,12
FL,Palm Bay Shopping Centers                                       ,28,-80.7,20
FL,Welding shop in Miami                                           ,25.8,-80.2,11
