state_abbr,year,total
AL,2009,1
AL,2011,1
AL,2012,2
AL,2013,1
AL,2015,1
AR,2008,1
AZ,2002,1
AZ,2008,1
AZ,2011,1
AZ,2013,1
AZ,2015,1
AZ,2016,2
CA,1976,2
CA,1984,1
CA,1988,1
CA,1992,1
CA,1998,1
CA,2001,1
CA,2006,1
CA,2011,1
CA,2012,1
CA,2014,2
CA,2015,1
CA,2016,4
CO,1993,1
CO,1999,1
CO,2007,1
CT,2012,1
DE,2016,1
FL,1990,1
FL,1996,1
FL,2012,1
FL,2014,1
FL,2015,4
FL,2016,3
GA,1999,1
GA,2012,1
GA,2015,4
GA,2016,2
HI,1999,1
IA,1991,1
IL,1974,1
IL,1988,2
IL,2015,2
IL,2016,1
KS,2016,2
KY,1989,1
KY,1994,1
KY,2016,1
LA,1988,1
LA,2014,1
LA,2015,1
MA,2016,2
MD,2016,1
ME,2015,1
MI,1993,2
MI,2007,1
MI,2011,1
MI,2016,1
MN,2012,1
MN,2015,1
MO,2008,1
MO,2016,1
MS,2015,1
MS,2016,1
MT,1986,1
NC,1993,1
NC,2009,1
NC,2015,3
NE,2007,1
NE,2015,1
NJ,1991,1
NJ,1995,1
NM,2014,1
NM,2015,1
NM,2016,1
NV,2011,1
NV,2013,1
NY,1974,1
NY,1986,1
NY,2015,2
NY,2016,1
OH,1994,1
OH,2004,1
OH,2011,1
OH,2012,1
OH,2015,1
OK,2012,1
OK,2015,1
OR,2007,1
OR,2012,1
PA,2006,1
PA,2013,1
PA,2016,2
SC,1979,1
SC,1988,1
SC,2015,1
TN,1995,1
TN,2015,1
TN,2016,2
TX,1995,1
TX,2005,1
TX,2009,1
TX,2013,1
TX,2015,3
TX,2016,2
UT,2007,1
VA,2002,1
VA,2007,1
VA,2016,3
VT,2006,1
WA,1996,1
WA,2006,1
WA,2009,1
WA,2012,1
WA,2014,1
WA,2016,1
WI,2004,1
WI,2005,1
WI,2012,1
WI,2015,1
WV,2014,1
