CODE,Title,Latitude,Longitude,Total Number of Victims,Description,Day of Week,Shooter Race,Targeted Victim/s - Detailed
AL,Wetumpka Drive-by                                               ,32.5,-86.2,4,Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka Alabama.                                                                                                                                                                                                                                                                                                                                                                                                ,Saturday ,Black American or African American        ,One male (48) one female (19) were killed two males injured (20 24). According to family members the suspect was related to the deceased victims.                                                                                                                                
AL,Greenhill AL Family murder-suicide                             ,34.8,-86.6,3,Husband murders his wife and injures his two sons at their home in rural Alabama then commits suicide                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Friday   ,White American or European American       ,Wife of shooter (age 48) died injured two sons (28 26) and killed himself (age 49)                                                                                                                                                                                                
AL,University of Alabama in Huntsville                             ,34.7,-86.7,6,On February 12 2010 a 44-year old professor went to a faculty meeting at the University of Alabama in Huntsville. She sat quietly at the meeting for 30 or 40 minutes before pulling out a gun killing three of her coworkers and injuring three others. She was later arrested outside the building.                                                                                                                                                                                                                                                  ,Friday   ,White American or European American       ,Coworkers                                                                                                                                                                                                                                                                            
AL,Alabama highway random shooting                                 ,34.2,-86.5,4,Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout but injured four at the second. He was killed by police.                                                                                                                                                                                                                                                                                                                                                              ,Tuesday  ,White American or European American       ,Four people in their cars on the highway appears they were random targets                                                                                                                                                                                                           
AL,Cottonwood                                                      ,31.1,-85.3,3,On Sunday night of March 15 the man broke into a house and killed two people including his wife and shot another person before turning the gun on himself.                                                                                                                                                                                                                                                                                                                                                                                               ,Sunday   ,White American or European American       ,The shooter's wife and mother-in-law and a family friend                                                                                                                                                                                                                            
AK,Bethel Regional High School                                     ,60.8,-161.8,4,On February 19 1997 a 16-year-old student at Bethel Regional High School in Bethel Alaska arrived on campus and shot a popular student killing him. He later shot and killed the school's principal and wounded two others before being arrested.                                                                                                                                                                                                                                                                                                     ,Wednesday,White American or European American       ,Student principal                                                                                                                                                                                                                                                                   
AZ,Tucson                                                          ,32.2,-111,4,On May 12 2015 the man gunned down four of his family members including his 17-year-old niece before fatally shooting himself in a murder-suicide.                                                                                                                                                                                                                                                                                                                                                                                                    ,Tuesday  ,Unknown                                   ,Four the shooter's family members                                                                                                                                                                                                                                                    
AZ,Northern Arizona University at Flagstaff Campus                 ,35.2,-111.7,4,On Friday of October 9 2015 one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.                                                                                                                                                                                                                                                               ,Friday   ,White American or European American       ,Four students                                                                                                                                                                                                                                                                        
AZ,Rose-Mar College of Beauty                                      ,33.4,-111.8,6,On November 12 1966 an 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa Arizona ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites like his school where he thought of wiping out the teachers. Finally he settled on the Rose-Mar College of Beauty where he thought he'd get a nice large group of victims.                                                                              ,Saturday ,White American or European American       ,Four beauty school students one client and her two daughters.                                                                                                                                                                                                                      
AZ,Wat Promkunaram Buddhist Temple                                 ,33.6,-112.1,9,On the evening on August 9 1991 two high school students in the Air Force ROTC program entered a Buddhist monastery intending to steal cameras golden religious paraphernalia and cash from the monks. After looting the monastery and holding the monks hostage the boys decided to shoot and kill all nine occupants of the house to leave no witnesses of their crime.                                                                                                                                                                             ,Friday   ,Asian American/Some other race            ,A temple abbot five monks an apprentice monk a nun and her nephew                                                                                                                                                                                                                 
AZ,Glendale Arizona                                               ,33.6,-112.2,4,Five family members are dead after the son opened fire at their house on Tuesday morning. The shooter killed his father his mother his 18-year-old sister and his 6-year-old sister. Police fatally shot the  shooter after a confrontation inside the home.                                                                                                                                                                                                                                                                                           ,Tuesday  ,Two or more races                         ,The shooter's parents and two sisters                                                                                                                                                                                                                                                
AZ,Phoenix                                                         ,33.6,-112.1,4,On April 16 2015 a man who had been in a business dispute with his two brothers shot and killed them with his mother and one of their wives before taking his own life.                                                                                                                                                                                                                                                                                                                                                                                 ,Thursday ,Some other race                           ,Two men all brothers and two women (shooter's mother and one of their wives)                                                                                                                                                                                                       
AR,Westside Middle School                                          ,35.8,-90.7,15,On March 24 1998 a 13-year-old boy stole his mother's car that he and an 11-year-old cousin had loaded with guns and ammunition. When they arrived to Westside Middle School in Jonesboro Arkansas the younger boy pulled the fire alarm and met the elder on a hill overlooking the evacuation meeting site. They boys then began shooting at the crowd killing four students and a teacher and wounding ten others before being arrested.                                                                                                          ,Tuesday  ,White American or European American       ,Students teachers                                                                                                                                                                                                                                                                   
CA,Ladera Ranch Santa Ana Tustin and Orange                      ,33.5,-117.6,6,On February 19 2013 a 20-year old unemployed part-time student killed a 20-year old woman at his parent's house. The shooter's parents called 911 when they heard the noise. He drove off in his parents car and went on a killing spree carjacking several cars and shooting at commuters drivers and construction workers. He committed suicide when police were approaching. The shooter had left a suicide note that he wrote within an hour of the 911 call his parents made.                                                                   ,Tuesday  ,White American or European American       ,The shooter killed a young lady at his family's home. He also killed 2  men at random and shot commuters and construction workers he encountered during his shooting spree. It remains unclear what relationship he had with the women he killed at his family's residential home.   
CA,Los Angeles Police Department                                   ,33.7,-117.8,7,On February 3 2013 a 33-year old former LAPD police officer shot and killed the daughter of a former LAPD captain and her fiance in a parking garage in Irvine California. The shooter fled the scene and a large manhunt followed until February 12 2013 during a stand-off  with police at a cabin in the San Bernardino Mountains. The shooter killed one police officer and injured another one before he committed suicide. It is not clear if he took his life before or after the police started to burn down the cabin where he was holed up.,Sunday   ,Black American or African American        ,Family of police officer police officers                                                                                                                                                                                                                                            
CA,Orange Glenn Post Office                                        ,33.1,-117.1,4,"On August 10 1989 a 52-year-old ""model"" postal worker murdered his wife in their home before arriving to work at the Orange Glen Post Office in Escondido California. He then shot and killed two co-workers and injured another before taking the gun to his own head dying later in a hospital.                                                                                                                                                                                                                                                     ",Thursday ,White American or European American       ,Coworkers in the post office and his wife        
CA,Caltrans Maintenance Yard                                       ,33.8,-117.8,6,On December 18 1997 a 41-year-old recently fired Caltrans employee arrived to his former office and began shooting at his former coworkers and supervisors. He killed four employees and wounded another and a police officer before being killed by police.                                                                                                                                                                                                                                                                                            ,Thursday ,Some other race                           ,Supervisors coworkers                                                                                                                                                                                                                                                               
CA,Long Beach Street murder                                        ,33.8,-118.2,4,Group of men were standing at a street corner when someone came up and fired upon them. One man died 3 injured. Nothing is known about the shooter.                                                                                                                                                                                                                                                                                                                                                                                                      ,Monday   ,Unknown                                   ,One young father was killed 3 other unidentified victims injured.                                                                                                                                                                                                                   
CA,Covina California                                              ,34.1,-117.9,11,On December 24 2008 a 45-year-old man entered his brother's residence in Covina California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.                                                                                                                                                                                   ,Wednesday,White American or European American       ,Family ex-wife                                                                                                                                                                                                                                                                      
CA,Grover Cleveland Elementary School                              ,32.9,-117.1,11,On January 29 1979 a 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate.  The principal and a custodian were killed and eight children and a police officer were injured.                                                                                                                                                                         ,Monday   ,White American or European American       ,School children across the street from shooter's home                                                                                                                                                                                                                                
CA,Santa Monica College                                            ,34,-118.5,8,On June 7 2013 a 23-year old killed his father and brother at their family home and then set the home on fire in Santa Monica California. He then forced a motorist to drive him to the Santa Monica College campus. On his way there he fired at commuters. During a 13-minute shooting spree spanning roughly 1.5 miles he killed three other people and three others wounded by gun shot. The shooter was killed by the police in the Santa Monica College library.                                                                                 ,Friday   ,White American or European American       ,The initial targeted victims were the shooter's father and brother. The other victims that followed were random.                                                                                                                                                                     
CA,Cleveland Elementary School                                     ,38,-121.3,35,On January 17 1989 an unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton California. He set his car on fire in the parking lot before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher before killing himself.                                                                                                                                                                                                                                       ,Tuesday  ,White American or European American       ,Students and teachers of an elementary school                                                                                                                                                                                                                                        
CA,Los Angeles International Airport (LAX)                         ,34.2,-118.5,4,"On November 1 2013 an unemployed 23-year old man entered Terminal 3 at Los Angeles International Airport (LAX) in California and pulled a rifle from his bag killing one TSA officer and wounding two other officers and a passenger before he was wounded and captured. Witnesses said that the shooter was calmly asking people: ""Hey are you TSA?"". If they said no the shooter moved on.                                                                                                                                                        ",Friday   ,White American or European American       ,Transportation Security Administration (TSA) officers                                                                                                                                                                                                                                
CA,Offices of Pettit & Martin in San Francisco                     ,37.8,-122.4,14,On July 1 1993 a 55-year-old failing entrepreneur entered the law offices of Pettit & Martin in the financial district of San Francisco California. He then opened fire on the office killing eight and wounding six others before turning the gun on himself. He had apparently targeted the law firm due to his deep hatred for lawyers arising from his failed business endeavors and a real estate consultation with the firm years before.                                                                                                       ,Thursday ,White American or European American       ,Lawyers employees of law firm                                                                                                                                                                                                                                                       
CA,Isla Vista                                                      ,34.4,-119.9,10,On the evening of May 23 2014 a 22-year-old student and resident of Isla Vista stabbed two roommates and their friend to death in his apartment. He then drove to a sorority house in Isla Vista and attempted to enter the premises to no avail and began shooting at a neighboring sorority's members killing two and wounding another. He continued shooting between altercations with police throughout Isla Vista killing another male student and wounding six more before committing suicide.                                                 ,Friday   ,White American or European American       ,Two roommates and a friend of the roommates members of Alpha Phi and Delta Delta sororities Isla Vista residents and UC Santa Barbara students                                                                                                                                     
CA,Riverside restaurant shooting                                   ,34,-117.5,4,Shooter fired upon group of people in a restaurant parking lot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Sunday   ,Some other race                           ,One adult male was killed three adult males injured.                                                                                                                                                                                                                                
CA,Rivermark Santa Clara California                              ,37.4,-122,6,On March 29 2009 a 42-year-old web analytics technician for Yahoo! in Santa Clara California began shooting in his home. He killed his two children his brother-in-law sister-in-law and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.                                                                                                                                                                                                                                            ,Sunday   ,Asian American                            ,Shooter's children in-laws                                                                                                                                                                                                                                                          
CA,San Diego State University                                      ,32.9,-117.1,3,On August 15 1996 a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego California was set to defend his Master's thesis for the second time. Instead he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense killing all three. He was found and arrested in the room where he had planned to commit suicide but could not do it.                                                                                   ,Thursday ,White American or European American       ,Graduate advisor and professors                                                                                                                                                                                                                                                      
CA,Dana Point Post Office                                          ,33.5,-117.7,6,On May 6 1993 after murdering his mother and her dog a 38-year-old postal employee who had been fired five months prior arrived at the post office in Dana Point California and shot and killed a former coworker and wounded another. He later shot a man in his garage a woman motorist robbed and shot two others at an ATM totaling five injured victims and one death.                                                                                                                                                                        ,Thursday ,White American or European American       ,Supervisors postal workers                                                                                                                                                                                                                                                          
CA,McDonald's restaurant in San Ysidro                             ,32.6,-117,40,On July 18 1984 a 41-year-old unemployed man walked into a McDonald's restaurant in San Ysidro California killing twenty-one people and injuring nineteen others. The shooter was killed at the scene by a SWAT team sniper perched on the roof next door.                                                                                                                                                                                                                                                                                           ,Wednesday,White American or European American       ,Restaurant customers and employees                                                                                                                                                                                                                                                   
