Year,Num
1970,6    
1977,2    
1978,7    
1979,1    
1980,1    
1981,5    
1982,51   
1983,79   
1984,15   
1985,5    
1986,11   
1987,19   
1988,30   
1989,41   
1990,64   
1991,67   
1992,73   
1993,74   
1994,60   
1995,50   
1996,37   
1997,39   
1998,43   
1999,56   
2000,89   
2001,90   
2002,97   
2003,102  
2004,99   
2005,142  
2006,150  
2007,154  
2008,146  
2009,286  
2010,235  
2011,240  
2012,80   
2013,91   
2014,223  
2015,201  
2016,129  
2017,159  
2018,111  
2019,49   
2020,22   
