Genre,Year,nGames
Action          ,1970,12
Adventure       ,1970,6
Fighting        ,1970,3
Misc            ,1970,9
Platform        ,1970,2
Puzzle          ,1970,6
Racing          ,1970,2
Role-Playing    ,1970,32
Shooter         ,1970,15
Simulation      ,1970,2
Sports          ,1970,6
Strategy        ,1970,9
Simulation      ,1973,1
Simulation      ,1975,1
Action          ,1977,4
Adventure       ,1977,1
Misc            ,1977,2
Racing          ,1977,2
Shooter         ,1977,1
Sports          ,1977,2
Action          ,1978,14
Adventure       ,1978,1
Misc            ,1978,10
Platform        ,1978,1
Puzzle          ,1978,6
Racing          ,1978,6
Shooter         ,1978,3
Sports          ,1978,6
Strategy        ,1978,1
Action          ,1979,1
Adventure       ,1979,1
Role-Playing    ,1979,1
Sports          ,1979,1
Strategy        ,1979,1
Action          ,1980,3
Adventure       ,1980,1
Fighting        ,1980,2
Misc            ,1980,8
Racing          ,1980,2
Role-Playing    ,1980,2
Shooter         ,1980,1
Sports          ,1980,13
Strategy        ,1980,3
Action          ,1981,10
Adventure       ,1981,3
Misc            ,1981,4
Puzzle          ,1981,1
Racing          ,1981,1
Role-Playing    ,1981,1
Shooter         ,1981,9
Simulation      ,1981,1
Sports          ,1981,6
Strategy        ,1981,1
Action          ,1982,103
Action-Adventure,1982,4
Adventure       ,1982,6
Misc            ,1982,6
Platform        ,1982,12
Puzzle          ,1982,12
Racing          ,1982,2
Role-Playing    ,1982,6
Shooter         ,1982,44
Simulation      ,1982,8
Sports          ,1982,6
Strategy        ,1982,5
Action          ,1983,158
Action-Adventure,1983,2
Adventure       ,1983,13
Misc            ,1983,9
Music           ,1983,1
Platform        ,1983,29
Puzzle          ,1983,17
Racing          ,1983,9
Role-Playing    ,1983,3
Shooter         ,1983,44
Sports          ,1983,12
Strategy        ,1983,2
Visual Novel    ,1983,1
Action          ,1984,31
Adventure       ,1984,12
Fighting        ,1984,1
Misc            ,1984,13
Platform        ,1984,6
Puzzle          ,1984,3
Racing          ,1984,3
Role-Playing    ,1984,2
Shooter         ,1984,11
Sports          ,1984,3
Strategy        ,1984,3
Action          ,1985,11
Adventure       ,1985,11
Fighting        ,1985,2
Misc            ,1985,21
Platform        ,1985,8
Puzzle          ,1985,7
Racing          ,1985,4
Role-Playing    ,1985,8
Shooter         ,1985,10
Simulation      ,1985,3
Sports          ,1985,7
Strategy        ,1985,1
Action          ,1986,21
Action-Adventure,1986,1
Adventure       ,1986,17
Fighting        ,1986,7
Misc            ,1986,17
Platform        ,1986,24
Puzzle          ,1986,5
Racing          ,1986,4
Role-Playing    ,1986,9
Shooter         ,1986,20
Simulation      ,1986,10
Sports          ,1986,8
Strategy        ,1986,3
Action          ,1987,37
Adventure       ,1987,27
Fighting        ,1987,7
Misc            ,1987,29
Platform        ,1987,32
Puzzle          ,1987,15
Racing          ,1987,10
Role-Playing    ,1987,17
Shooter         ,1987,36
Simulation      ,1987,8
Sports          ,1987,35
Strategy        ,1987,6
Action          ,1988,60
Adventure       ,1988,26
Fighting        ,1988,1
Misc            ,1988,26
Platform        ,1988,35
Puzzle          ,1988,5
Racing          ,1988,9
Role-Playing    ,1988,28
Shooter         ,1988,40
Simulation      ,1988,6
Sports          ,1988,36
Strategy        ,1988,10
Action          ,1989,82
Adventure       ,1989,37
Fighting        ,1989,8
Misc            ,1989,40
Platform        ,1989,39
Puzzle          ,1989,23
Racing          ,1989,21
