CODE,Title,year,Word,count
NJ,Annual motorcycle event in Newark                               ,2015,16th,1
NJ,Annual motorcycle event in Newark                               ,2015,19th,1
KS,Wichita Nightclub shooting                                      ,2016,1am,1
VA,"Woodbridge, Virginia                                            ",2016,27th,1
CA,49th Street Elementary School                                   ,1984,49th,1
MN,"Minneapolis, Minnesota                                          ",2015,4th,1
WA,"Belfair, Washington                                             ",2016,9am,1
NY,Mohawk and Herkimer Villages in New York                        ,2013,Abandoned,1
PA,Ross Township Supervisor Council Meeting                        ,2013,Abandoned,1
CA,"Covina, California                                              ",2008,Ablaze,1
LA,New Orleans Downtown Post Office                                ,1988,Able,1
UT,Weber State University                                          ,1993,Able,1
CA,"San Bernardino, California                                      ",2015,Abruptly,1
KS,"Hesston, Kansas                                                 ",2016,Abuse,1
IA,University of Iowa                                              ,1991,Academic,1
IA,University of Iowa                                              ,1991,Academics,1
OH,SuccessTech Academy                                             ,2007,Academy,1
MN,Accent Signage Systems in Minneapolis                           ,2012,Accent,1
FL,GMAC Loan Office                                                ,1990,Acceptance,1
PA,Duquesne University                                             ,2006,Accompanied,1
CT,Hartford Beer Distributors                                      ,2010,Accused,1
MS,Brookhaven                                                      ,2015,Accused,1
AL,Centennial Hill Bar & Grill                                     ,2013,Acquaintance,2
MO,Tyrone                                                          ,2015,Acquaintances,1
CA,Grover Cleveland Elementary School                              ,1979,Across,1
KS,Kansas City Home Invasion                                       ,2016,Act,1
OK,Oklahoma City Residence                                         ,2013,Actress,1
NJ,"Trenton, NJ sidewalk shooting                                   ",2016,Acura,1
GA,Offices of All-Tech Investment Group and Momentum Securities    ,1999,Additional,1
MS,Pearl High School                                               ,1997,Additional,1
OH,Damageplan show at the Alrosa Villa Nightclub                   ,2004,Additional,1
IL,Clara Barton Elementary School                                  ,1974,Adjustment,1
OH,Wickliffe Middle School                                         ,1994,Administrator,1
AZ,"Tucson, Arizona                                                 ",2011,Adobes,1
ID,Moscow                                                          ,2015,Adoptive,1
CA,"Los Angeles, CA street shooting                                 ",2016,Adult,1
CT,Sandy Hook Elementary School                                    ,2012,Adult,1
IL,Village of Manchester in Illinois                               ,2013,Adults,1
MN,"Clearbrook (Greenwood), Minnesota                               ",2015,Adults,1
PA,West Nickel Mines Amish School                                  ,2006,Adults,1
IA,University of Iowa                                              ,1991,Affairs,1
AL,Wetumpka Drive-by                                               ,2016,Afternoon,1
MS,"Iuka, Mississippi                                               ",2016,Afternoon,1
NC,Tarboro                                                         ,2015,Afternoon,1
NV,Nellis Plaza                                                    ,2014,Afternoon,1
OK,Tulsa                                                           ,2015,Afternoon,1
VT,Essex Elementary School                                         ,2006,Afterward,1
NM,South Valley Residence                                          ,2013,Afterwards,1
NY,Mohawk and Herkimer Villages in New York                        ,2013,Afterwards,1
FL,Pinellas Park High School                                       ,1988,Age,1
PA,West Nickel Mines Amish School                                  ,2006,Age,1
WA,"Carnation, Washington                                           ",2007,Aged,1
LA,New Orleans Downtown Post Office                                ,1988,Agent,1
LA,New Orleans Downtown Post Office                                ,1988,Agents,1
AR,University of Central Arkansas                                  ,2008,Ages,1
CO,Columbine High School                                           ,1999,Ages,1
FL,The Spot Nightclub                                              ,2012,Ages,1
WA,Wah Mee Club in Seattle                                         ,1983,Ages,1
SC,R.E. Phelon Company                                             ,1997,Aiken,1
AZ,Wat Promkunaram Buddhist Temple                                 ,1991,Air,1
VA,Virginia WDBJ live TV interview shooting                        ,2015,Air,1
WA,Fairchild Air Force Base Hospital                               ,1994,Air,1
CA,Los Angeles International Airport (LAX)                         ,2013,Airport,1
CA,Los Angeles Drive-by                                            ,2016,Ak,1
NJ,Annual motorcycle event in Newark                               ,2015,Al,1
AL,"Geneva County, Alabama                                          ",2009,Alabama,1
AL,University of Alabama in Huntsville                             ,2010,Alabama,1
AL,Southern Union State Community College                          ,2011,Alabama,1
AL,University Heights Apartments in Auburn                         ,2012,Alabama,1
AL,Wetumpka Drive-by                                               ,2016,Alabama,1
AL,"Greenhill, AL Family murder-suicide                             ",2016,Alabama,1
AL,Alabama highway random shooting                                 ,2016,Alabama,1
AR,Westside Middle School                                          ,1998,Alarm,1
AK,Bethel Regional High School                                     ,1997,Alaska,1
WA,Frontier Junior High School                                     ,1996,Algebra,1
MI,Chelsea High School                                             ,1993,Allegation,1
FL,Daytona Beach                                                   ,2015,Alleged,1
GA,Hill Haven Event Center (Formerly Club CJ's)                    ,2015,Alleged,1
CA,Salon Meritage                                                  ,2011,Allegedly,1
NM,Little Water                                                    ,2015,Allegedly,1
TX,Homes in Desoto and Dallas                                      ,2013,Allegedly,1
MN,"Clearbrook (Greenwood), Minnesota                               ",2015,Allnurses,1
WA,St. Aloysius Church                                             ,1971,Aloysius,1
OH,Damageplan show at the Alrosa Villa Nightclub                   ,2004,Alrosa,1
AZ,"Glendale, AZ House Party shooting                               ",2016,Altercation,1
GA,"Roswell, GA Hookah shootout                                     ",2016,Altercation,1
IL,Club Maxey's                                                    ,2015,Altercation,1
KS,Wichita Nightclub shooting                                      ,2016,Altercation,1
LA,New Orleans gas station shoot-out                               ,2016,Altercation,1
TN,"Memphis, TN gas station shooting                                ",2016,Altercation,1
WI,Milwaukee                                                       ,2015,Altercation,1
CA,Isla Vista                                                      ,2014,Altercations,1
NC,Pinelake Health and Rehab nursing home                          ,2009,Alzheimer,1
TX,Palo Duro High School                                           ,1992,Amarillo,1
NC,Charlotte                                                       ,2015,America,1
PA,West Nickel Mines Amish School                                  ,2006,Amish,1
AR,Westside Middle School                                          ,1998,Ammunition,1
CA,Cedarville Rancheria Tribe                                      ,2014,Ammunition,1
TX,Homes in Desoto and Dallas                                      ,2013,Ammunition,1
VT,Essex Elementary School                                         ,2006,Ammunition,1
CA,"Rivermark, Santa Clara, California                              ",2009,Analytics,1
CA,Los Angeles Computer Learning Center                            ,1976,Angeles,1
CA,49th Street Elementary School                                   ,1984,Angeles,1
CA,Los Angeles International Airport (LAX)                         ,2013,Angeles,1
CA,Los Angeles Drive-by                                            ,2016,Angeles,1
CA,"San Bernardino, California                                      ",2015,Angry,1
IL,Clara Barton Elementary School                                  ,1974,Angry,1
MD,Tire-Slashing revenge escalation                                ,2016,Angry,1
NC,"Louisburg, North Carolina                                       ",2016,Ankle,1
NJ,Annual motorcycle event in Newark                               ,2015,Annual,1
AL,Centennial Hill Bar & Grill                                     ,2013,Another,1
AL,Cottonwood                                                      ,2015,Another,1
AZ,Rose-Mar College of Beauty                                      ,1966,Another,1
AZ,Mesa                                                            ,2015,Another,3
CA,Orange Glenn Post Office                                        ,1989,Another,1
CA,Dana Point Post Office                                          ,1993,Another,1
CA,Caltrans Maintenance Yard                                       ,1997,Another,1
CA,Los Angeles Police Department                                   ,2013,Another,1
CA,Isla Vista                                                      ,2014,Another,2
CA,Cedarville Rancheria Tribe                                      ,2014,Another,1
CO,Chuck E. Cheese in Aurora                                       ,1993,Another,1
FL,Welding shop in Miami                                           ,1982,Another,1
FL,Fort Lauderdale City Parks Office                               ,1996,Another,1
GA,Offices of All-Tech Investment Group and Momentum Securities    ,1999,Another,1
ID,Moscow                                                          ,2015,Another,1
IL,Comet Auto Parts and Montefiore School                          ,1988,Another,1
IL,Hubbard Woods Elementary School                                 ,1988,Another,1
KS,Goddard Junior High School                                      ,1985,Another,1
MI,Residences in Grand Rapids                                      ,2011,Another,1
MI,"Kalamazoo, Michigan                                             ",2016,Another,1
MO,Tyrone                                                          ,2015,Another,1
NC,Pinelake Health and Rehab nursing home                          ,2009,Another,1
NC,Tarboro                                                         ,2015,Another,1
NJ,Montclair Post Office                                           ,1995,Another,1
OH,Case Western Reserve University                                 ,2003,Another,1
OH,SuccessTech Academy                                             ,2007,Another,1
OH,"Colerain Township, Ohio                                         ",2015,Another,1
PA,Parker Middle School Dance                                      ,1998,Another,1
PA,"Pennsburg, Souderton, Lansdale, Harleysville                    ",2014,Another,1
TN,Richland High School                                            ,1995,Another,2
TN,"Roadside in Memphis, Tennessee                                  ",2016,Another,1
TX,Walter Rossler Company                                          ,1995,Another,1
TX,Tyler Courthouse                                                ,2005,Another,1
TX,Fort Hood Army Base                                             ,2009,Another,1
TX,Killeen                                                         ,2015,Another,1
WA,Frontier Junior High School                                     ,1996,Another,1
WA,Cafe in Seattle                                                 ,2012,Another,1
WA,Pinewood Village Apartments                                     ,2013,Another,1
WI,Milwaukee Post Office                                           ,1997,Another,1
WI,"Apartment in Crandon, Wisconsin                                 ",2007,Another,1
WV,Morgantown                                                      ,2014,Another,2
IL,Northern Illinois University                                    ,2008,Anxiety,1
AL,"Geneva County, Alabama                                          ",2009,Anyone,1
GA,Conyers                                                         ,2015,Anyone,1
AL,University Heights Apartments in Auburn                         ,2012,Apartment,1
AZ,Mesa                                                            ,2015,Apartment,2
CA,Isla Vista                                                      ,2014,Apartment,1
CO,Movie Theater in Aurora                                         ,2012,Apartment,1
FL,Hialeah Apartments                                              ,2013,Apartment,2
IN,Indianapolis                                                    ,2015,Apartment,1
MA,"Chelsea, Massachusetts                                          ",2016,Apartment,2
MA,"Chelsea, MA empty apartment party shooting                      ",2016,Apartment,1
ME,"Oakland, Maine                                                  ",2015,Apartment,2
NC,Chapel Hill                                                     ,2015,Apartment,2
NJ,Ridgewood Post Office                                           ,1991,Apartment,1
NJ,Montclair Post Office                                           ,1995,Apartment,1
NJ,"Trenton, NJ sidewalk shooting                                   ",2016,Apartment,1
NY,Mohawk and Herkimer Villages in New York                        ,2013,Apartment,1
WA,Pinewood Village Apartments                                     ,2013,Apartment,2
ME,"Oakland, Maine                                                  ",2015,Apartments,1
TX,Killeen                                                         ,2015,Apartments,1
VA,Appalachian School of Law                                       ,2002,Appalachian,1
MN,"Clearbrook (Greenwood), Minnesota                               ",2015,Apparent,1
NC,Pinelake Health and Rehab nursing home                          ,2009,Apparent,1
OK,Fort Gibson Middle School                                       ,1999,Apparent,1
CA,Offices of Pettit & Martin in San Francisco                     ,1993,Apparently,1
IL,Clara Barton Elementary School                                  ,1974,Apparently,1
MI,"Kalamazoo, Michigan                                             ",2016,Apparently,1
MI,Detroit Strip Club Shootout                                     ,2016,Apparently,1
NJ,Ridgewood Post Office                                           ,1991,Apparently,1
NM,South Valley Residence                                          ,2013,Apparently,1
OH,Damageplan show at the Alrosa Villa Nightclub                   ,2004,Apparently,1
OK,"North Tulsa, Oklahoma                                           ",2012,Apparently,1
WI,"Birchwood, Wisconsin                                            ",2004,Apparently,1
GA,Conyers                                                         ,2015,Appeared,1
OK,Tulsa                                                           ,2015,Appeared,1
TX,Homes in Desoto and Dallas                                      ,2013,Appeared,1
CA,Los Angeles Computer Learning Center                            ,1976,Apprehended,1
CA,San Francisco Tenderloin                                        ,2014,Apprehended,1
CO,Movie Theater in Aurora                                         ,2012,Apprehended,1
NC,Orange High School                                              ,2006,Apprehended,1
NY,Long Island Rail Road Commuter Train                            ,1993,Apprehended,1
WA,Frontier Junior High School                                     ,1996,Apprehended,1
NV,Nellis Plaza                                                    ,2014,Approached,1
OH,Wickliffe Middle School                                         ,1994,Approached,1
PA,Monroeville Macy's                                              ,2015,Approached,1
VA,"Richmond, Virginia                                              ",2016,Approached,1
WA,Marysville-Pilchuck High School                                 ,2014,Approached,1
WY,Central Middle School                                           ,1993,Approached,1
CA,"Ladera Ranch, Santa Ana, Tustin and Orange                      ",2013,Approaching,1
AL,Southern Union State Community College                          ,2011,April,1
AZ,Phoenix                                                         ,2015,April,1
CA,Oikos University                                                ,2012,April,1
CO,Columbine High School                                           ,1999,April,1
FL,Palm Bay Shopping Centers                                       ,1987,April,1
FL,Daytona Beach                                                   ,2015,April,2
GA,Kennesaw FedEx                                                  ,2014,April,1
GA,Rome                                                            ,2015,April,1
IL,Village of Manchester in Illinois                               ,2013,April,1
IN,Indianapolis                                                    ,2015,April,1
NY,Immigration Services Center in Binghamton                       ,2009,April,1
NY,Gates Pub                                                       ,2015,April,1
OK,"North Tulsa, Oklahoma                                           ",2012,April,1
OR,Springwater Trail High School                                   ,2007,April,1
PA,Parker Middle School Dance                                      ,1998,April,1
TX,Walter Rossler Company                                          ,1995,April,1
TX,Fort Hood                                                       ,2014,April,1
TX,Killeen                                                         ,2015,April,1
VA,Virginia Tech  Campus                                           ,2007,April,1
WA,Pinewood Village Apartments                                     ,2013,April,1
ID,Moscow                                                          ,2015,Arby,1
GA,Atlanta Post Office                                             ,1985,Area,1
MN,"Minneapolis, Minnesota                                          ",2015,Area,1
TX,Homes in Desoto and Dallas                                      ,2013,Area,1
CA,Salon Meritage                                                  ,2011,Argued,1
MS,Brookhaven                                                      ,2015,Argued,1
CA,San Francisco Tenderloin                                        ,2014,Arguing,1
GA,Atlanta Nightclub shooting                                      ,2016,Arguing,1
NC,Boom Boom Room                                                  ,2015,Arguing,1
NJ,"Trenton, NJ sidewalk shooting                                   ",2016,Arguing,1
WI,"Birchwood, Wisconsin                                            ",2004,Arguing,1
AZ,Mesa                                                            ,2015,Argument,1
FL,Florida Hookah Bar Shooting                                     ,2016,Argument,1
LA,Bourbon Street New Orleans                                      ,2014,Argument,1
OH,Youngstown State University                                     ,2011,Argument,1
TN,Memphis                                                         ,2015,Argument,1
WI,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,2015,Argument,1
CA,Offices of Pettit & Martin in San Francisco                     ,1993,Arising,1
AZ,Rose-Mar College of Beauty                                      ,1966,Arizona,1
AZ,University of Arizona College of Nursing                        ,2002,Arizona,2
AZ,South Mountain Community College                                ,2008,Arizona,1
AZ,"Tucson, Arizona                                                 ",2011,Arizona,1
AZ,Phoenix Law Firm                                                ,2013,Arizona,1
AZ,Northern Arizona University at Flagstaff Campus                 ,2015,Arizona,2
NM,Little Water                                                    ,2015,Arizona,1
AR,Westside Middle School                                          ,1998,Arkansas,1
AR,University of Central Arkansas                                  ,2008,Arkansas,2
WA,Frontier Junior High School                                     ,1996,Arm,1
GA,Conyers                                                         ,2015,Armed,1
NV,Nellis Plaza                                                    ,2014,Armed,1
CA,San Francisco Tenderloin                                        ,2014,Arms,1
NC,Luigi's Restaurant in Fayetteville                              ,1993,Army,1
TX,Fort Hood Army Base                                             ,2009,Army,2
TX,Fort Hood                                                       ,2014,Army,1
WI,Sikh Temple in Wisconsin                                        ,2012,Army,1
AK,Bethel Regional High School                                     ,1997,Arrested,1
AL,University of Alabama in Huntsville                             ,2010,Arrested,1
AL,Southern Union State Community College                          ,2011,Arrested,1
AR,Westside Middle School                                          ,1998,Arrested,1
AR,University of Central Arkansas                                  ,2008,Arrested,1
AZ,South Mountain Community College                                ,2008,Arrested,1
AZ,"Tucson, Arizona                                                 ",2011,Arrested,1
CA,Lindhurst High School                                           ,1992,Arrested,1
CA,San Diego State University                                      ,1996,Arrested,1
CA,Salon Meritage                                                  ,2011,Arrested,1
CO,Chuck E. Cheese in Aurora                                       ,1993,Arrested,1
CO,Movie Theater in Aurora                                         ,2012,Arrested,1
FL,Radisson Bay Harbor Inn                                         ,1999,Arrested,1
FL,Moon Lake                                                       ,2015,Arrested,1
FL,Panama City Beach                                               ,2015,Arrested,1
GA,Heritage High School                                            ,1999,Arrested,1
GA,LaGrange                                                        ,2015,Arrested,1
HI,Xerox Office Building                                           ,1999,Arrested,1
IN,Indianapolis                                                    ,2015,Arrested,1
KS,Goddard Junior High School                                      ,1985,Arrested,1
KY,Heath High School                                               ,1997,Arrested,1
MA,Edgewater Technology                                            ,2000,Arrested,1
MI,Chelsea High School                                             ,1993,Arrested,1
MI,South Middle School Football Game                               ,2007,Arrested,1
MS,Pearl High School                                               ,1997,Arrested,1
MT,Fergus County High School                                       ,1986,Arrested,1
NC,Luigi's Restaurant in Fayetteville                              ,1993,Arrested,1
NC,Downtown Chapel Hill                                            ,1995,Arrested,1
NC,Pinelake Health and Rehab nursing home                          ,2009,Arrested,1
NC,Boom Boom Room                                                  ,2015,Arrested,1
NE,Omaha                                                           ,2015,Arrested,1
NJ,Ridgewood Post Office                                           ,1991,Arrested,1
NJ,Montclair Post Office                                           ,1995,Arrested,1
NM,South Valley Residence                                          ,2013,Arrested,1
NV,Mojave High School Bus                                          ,2007,Arrested,1
NY,New York Technical College                                      ,1986,Arrested,1
OH,Case Western Reserve University                                 ,2003,Arrested,1
OH,Chardon High School                                             ,2012,Arrested,1
OK,Oklahoma City Residence                                         ,2013,Arrested,1
OR,Thurston High School                                            ,1998,Arrested,1
OR,Springwater Trail High School                                   ,2007,Arrested,1
PA,Parker Middle School Dance                                      ,1998,Arrested,1
PA,Duquesne University                                             ,2006,Arrested,1
PA,Monroeville Macy's                                              ,2015,Arrested,1
SC,Oakland Elementary School                                       ,1988,Arrested,1
SC,R.E. Phelon Company                                             ,1997,Arrested,1
TX,Fort Hood Army Base                                             ,2009,Arrested,1
VA,Appalachian School of Law                                       ,2002,Arrested,1
WA,"Carnation, Washington                                           ",2007,Arrested,1
WI,"Birchwood, Wisconsin                                            ",2004,Arrested,1
AZ,Arizona Family Murder                                           ,2016,Arrive,1
NM,South Valley Residence                                          ,2013,Arrive,1
AK,Bethel Regional High School                                     ,1997,Arrived,1
AR,Westside Middle School                                          ,1998,Arrived,1
AR,University of Central Arkansas                                  ,2008,Arrived,1
AZ,University of Arizona College of Nursing                        ,2002,Arrived,1
AZ,South Mountain Community College                                ,2008,Arrived,1
CA,Electromagnetic Systems Laboratory (ESL)                        ,1988,Arrived,1
CA,Cleveland Elementary School                                     ,1989,Arrived,1
CA,Dana Point Post Office                                          ,1993,Arrived,1
CA,Caltrans Maintenance Yard                                       ,1997,Arrived,1
CA,Santana High School                                             ,2001,Arrived,1
CO,Columbine High School                                           ,1999,Arrived,1
CT,Connecticut State Lottery Headquarters                          ,1998,Arrived,1
FL,Fort Lauderdale City Parks Office                               ,1996,Arrived,1
FL,Radisson Bay Harbor Inn                                         ,1999,Arrived,1
FL,Florida State University                                        ,2014,Arrived,1
FL,Florida Family celebration ends in shooting                     ,2016,Arrived,1
FL,"Residence in Lakeland, Florida                                  ",2016,Arrived,1
GA,Heritage High School                                            ,1999,Arrived,1
GA,Kennesaw FedEx                                                  ,2014,Arrived,1
HI,Xerox Office Building                                           ,1999,Arrived,1
IL,Navistar International                                          ,2001,Arrived,1
IL,Windy City Core Supply Warehouse                                ,2003,Arrived,1
MI,Dearborn Post Office                                            ,1993,Arrived,1
MI,South Middle School Football Game                               ,2007,Arrived,1
MN,Red Lake High School                                            ,2005,Arrived,1
NV,Mojave High School Bus                                          ,2007,Arrived,1
NV,Carson City IHOP                                                ,2011,Arrived,2
OH,SuccessTech Academy                                             ,2007,Arrived,1
OR,Thurston High School                                            ,1998,Arrived,1
OR,Springwater Trail High School                                   ,2007,Arrived,1
SC,R.E. Phelon Company                                             ,1997,Arrived,1
TN,Richland High School                                            ,1995,Arrived,1
TX,Homes in Desoto and Dallas                                      ,2013,Arrived,1
UT,Trolley Square                                                  ,2007,Arrived,1
VA,Appalachian School of Law                                       ,2002,Arrived,1
VA,Virginia Tech  Campus                                           ,2007,Arrived,1
VA,"Woodbridge, Virginia                                            ",2016,Arrived,1
WA,"Carnation, Washington                                           ",2007,Arrived,1
CA,Orange Glenn Post Office                                        ,1989,Arriving,1
CA,Goleta Post Office                                              ,2006,Arriving,1
CO,Youth With A Mission and New Life Church                        ,2007,Arvada,1
AZ,"Glendale, AZ House Party shooting                               ",2016,Asked,1
GA,Su Jung Health Sauna                                            ,2012,Asked,1
GA,Atlanta Nightclub shooting                                      ,2016,Asked,1
ID,Moscow                                                          ,2015,Asked,1
MI,Detroit Strip Club Shootout                                     ,2016,Asked,1
WA,Cafe in Seattle                                                 ,2012,Asked,1
CA,Los Angeles International Airport (LAX)                         ,2013,Asking,1
CA,"Los Angeles, CA street shooting                                 ",2016,Assault,1
CO,"Colorado Springs, Colorado                                      ",2015,Assault,1
MI,South Middle School Football Game                               ,2007,Assault,1
NE,Westroads Mall                                                  ,2007,Assault,1
FL,Pinellas Park High School                                       ,1988,Assistant,1
IA,University of Iowa                                              ,1991,Astrophysics,1
GA,Atlanta Post Office                                             ,1985,Atlanta,1
GA,Offices of All-Tech Investment Group and Momentum Securities    ,1999,Atlanta,1
GA,Su Jung Health Sauna                                            ,2012,Atlanta,1
KY,Atlantis Plastics                                               ,2008,Atlantis,1
CA,Dana Point Post Office                                          ,1993,Atm,1
CA,San Francisco Tenderloin                                        ,2014,Attack,2
KS,"Hesston, Kansas                                                 ",2016,Attack,1
OK,"North Tulsa, Oklahoma                                           ",2012,Attack,1
UT,Trolley Square                                                  ,2007,Attack,1
VA,Virginia WDBJ live TV interview shooting                        ,2015,Attack,1
CA,Oikos University                                                ,2012,Attacker,1
PA,"Pittsburgh, Pennsylvania                                        ",2016,Attacker,1
AL,"Geneva County, Alabama                                          ",2009,Attempted,1
AL,Ensley Birmingham                                               ,2012,Attempted,1
CA,Isla Vista                                                      ,2014,Attempted,1
FL,Pinellas Park High School                                       ,1988,Attempted,1
FL,Radisson Bay Harbor Inn                                         ,1999,Attempted,1
MN,"Minneapolis, Minnesota                                          ",2015,Attempted,1
NY,McAvan's Pub                                                    ,2015,Attempted,1
SC,R.E. Phelon Company                                             ,1997,Attempted,1
NV,Nellis Plaza                                                    ,2014,Attempting,1
NJ,Annual motorcycle event in Newark                               ,2015,Attendance,1
AZ,Phoenix Law Firm                                                ,2013,Attended,1
IL,Hubbard Woods Elementary School                                 ,1988,Attended,1
IL,Club Maxey's                                                    ,2015,Attending,1
MS,Lockheed Martin                                                 ,2003,Attending,1
PA,Parker Middle School Dance                                      ,1998,Attending,1
FL,Fort Lauderdale City Parks Office                               ,1996,Attributed,1
AL,University Heights Apartments in Auburn                         ,2012,Auburn,2
CO,Movie Theater in Aurora                                         ,2012,Audience,1
AZ,Wat Promkunaram Buddhist Temple                                 ,1991,August,1
CA,Orange Glenn Post Office                                        ,1989,August,1
CA,San Diego State University                                      ,1996,August,1
CT,Hartford Beer Distributors                                      ,2010,August,1
FL,Welding shop in Miami                                           ,1982,August,1
IL,Windy City Core Supply Warehouse                                ,2003,August,1
NC,Luigi's Restaurant in Fayetteville                              ,1993,August,1
NC,Orange High School                                              ,2006,August,1
NY,New York Technical College                                      ,1986,August,1
OK,"Post office in Edmond, Oklahoma                                 ",1986,August,1
OK,Oklahoma City Residence                                         ,2013,August,1
PA,Ross Township Supervisor Council Meeting                        ,2013,August,1
SC,Johnston Post Office                                            ,1983,August,1
TX,University of Texas at Austin                                   ,1966,August,1
TX,Homes in Desoto and Dallas                                      ,2013,August,1
VA,Virginia WDBJ live TV interview shooting                        ,2015,August,1
VT,Essex Elementary School                                         ,2006,August,1
WI,Sikh Temple in Wisconsin                                        ,2012,August,1
AL,"Geneva County, Alabama                                          ",2009,Aunt,1
CO,Chuck E. Cheese in Aurora                                       ,1993,Aurora,1
CO,Movie Theater in Aurora                                         ,2012,Aurora,1
TX,University of Texas at Austin                                   ,1966,Austin,2
CA,Oikos University                                                ,2012,Authorities,1
MS,"Iuka, Mississippi                                               ",2016,Authorities,1
PA,"Pittsburgh, Pennsylvania                                        ",2016,Authorities,1
IL,Comet Auto Parts and Montefiore School                          ,1988,Auto,1
NM,Albuquerque Auto Shop                                           ,2014,Auto,1
AL,Wetumpka Drive-by                                               ,2016,Automatic,1
CA,"Rivermark, Santa Clara, California                              ",2009,Autopsy,1
CA,Isla Vista                                                      ,2014,Avail,1
CA,Los Angeles Drive-by                                            ,2016,Avalon,1
NJ,Annual motorcycle event in Newark                               ,2015,Avenue,1
IA,University of Iowa                                              ,1991,Award,1
AZ,Mesa                                                            ,2015,Away,2
AZ,"Glendale, AZ House Party shooting                               ",2016,Away,1
CA,Salon Meritage                                                  ,2011,Away,1
CA,Oikos University                                                ,2012,Away,1
FL,Welding shop in Miami                                           ,1982,Away,1
MI,Detroit Drive-by                                                ,2016,Away,1
MN,"Minneapolis, Minnesota                                          ",2015,Away,1
TN,Richland High School                                            ,1995,Away,1
VA,"Richmond, Virginia                                              ",2016,Away,1
KY,"Residence in Union, Kentucky                                    ",1994,Awoke,1
WI,Azana Spa in Brookfield                                         ,2012,Azana,1
FL,"Jacksonville, Florida                                           ",2015,Babies,1
TX,Houston Drive-by                                                ,2016,Baby,1
AL,Ensley Birmingham                                               ,2012,Back,1
NY,Schuyler County Office Building                                 ,1992,Back,1
UT,Weber State University                                          ,1993,Back,1
OH,Damageplan show at the Alrosa Villa Nightclub                   ,2004,Backstage,1
PA,Wilkinsburg BBQ cookout shootout                                ,2016,Backyard,1
PA,"Pittsburgh, Pennsylvania                                        ",2016,Backyard,1
WA,"Belfair, WA Family murder-suicide                               ",2016,Bad,1
CA,Los Angeles International Airport (LAX)                         ,2013,Bag,1
VA,"Richmond, Virginia                                              ",2016,Bags,1
WA,Parkland Coffee Shop                                            ,2009,Bail,1
FL,Hialeah Apartments                                              ,2013,Balcony,1
OH,Damageplan show at the Alrosa Villa Nightclub                   ,2004,Band,2
PA,Parker Middle School Dance                                      ,1998,Banquet,1
TX,Wedgwood Baptist Church                                         ,1999,Baptist,1
FL,Florida Hookah Bar Shooting                                     ,2016,Bar,1
GA,"Roswell, GA Hookah shootout                                     ",2016,Bar,1
NY,Olean High School                                               ,1974,Barbaro,1
NC,Tarboro                                                         ,2015,Barber,1
NY,Mohawk and Herkimer Villages in New York                        ,2013,Barbershop,1
MA,Simon's Rock College of Bard                                    ,1992,Bard,1
MA,Simon's Rock College of Bard                                    ,1992,Barrington,1
IL,Clara Barton Elementary School                                  ,1974,Barton,1
TX,Fort Hood Army Base                                             ,2009,Base,1
WA,Fairchild Air Force Base Hospital                               ,1994,Base,1
NY,Parking lot near Boys and Girls Club                            ,2015,Basketball,1
PA,Duquesne University                                             ,2006,Basketball,1
IL,Hubbard Woods Elementary School                                 ,1988,Bathroom,1
TX,Tyler Courthouse                                                ,2005,Battle,1
FL,Palm Bay Shopping Centers                                       ,1987,Bay,1
FL,Radisson Bay Harbor Inn                                         ,1999,Bay,1
CA,Salon Meritage                                                  ,2011,Beach,1
FL,Daytona Beach                                                   ,2015,Beach,2
AZ,Rose-Mar College of Beauty                                      ,1966,Beauty,2
AZ,Arizona Family Murder                                           ,2016,Because,1
GA,Su Jung Health Sauna                                            ,2012,Because,1
