state_abbr,Title,Latitude,Longitude,Fatalities,Injured,Victims,X,Desc,Year,
AL,Centennial Hill Bar & Grill                                     ,32.3,-86.3,3,3,5,8,"Early morning on December 28, 2013, a rapper had a confrontation with an acquaintance before going onstage. Soon after, the acquaintance left and re-entered the building and fired at the rapper. He and another shooter injured 5 and killed 3, including the rapper.                                                                                                                                                                                                                                                                                   ",2013
AL,Wetumpka Drive-by                                               ,32.5,-86.2,2,2,2,4,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.                                                                                                                                                                                                                                                                                                                                                                                                ",2016
AL,Southern Union State Community College                          ,32.7,-85.4,1,1,3,4,"On April 6, 2011, a 34-year old man went to the Opelika campus of Southern Union State Community College in Alabama, where his former wife was a student. He fired into a car and shot and killed his mother-in-law and injured his estranged wife, her grandmother, and her 4-year old daughter. Hours later returned to the crime scene and confessed to a photographer that he was the shooter. He was later arrested by the police.                                                                                                                   ",2011
AL,"Greenhill, AL Family murder-suicide                             ",34.8,-86.6,1,2,2,3,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",2016
AL,Birmingham's Washington Park                                    ,33.5,-86.8,1,1,2,3,"On February 27, 2015, the online Facebook brawl between two groups of friends spilled out into the streets with a planned videotaped fight.  After the melee ensued, two teenage males pulled out guns and started shooting at the girls. The shots killed 14-year-old girl and wounded two others.                                                                                                                                                                                                                                                       ",2015
AL,University of Alabama in Huntsville                             ,34.7,-86.7,3,0,3,6,"On February 12, 2010, a 44-year old professor went to a faculty meeting at the University of Alabama in Huntsville. She sat quietly at the meeting for 30 or 40 minutes before pulling out a gun, killing three of her coworkers and injuring three others. She was later arrested outside the building.                                                                                                                                                                                                                                                  ",2010
AL,University Heights Apartments in Auburn                         ,32.6,-85.5,3,3,3,6,"On June 9, 2012, a 22-year old man went to a party in an off-campus apartment complex in Auburn, Alabama. Three people, including two former Auburn University football players, were killed and three others were wounded. The shooter fled the scene and turned himself in a few days later.                                                                                                                                                                                                                                                            ",2012
AL,Alabama highway random shooting                                 ,34.2,-86.5,0,1,4,4,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.                                                                                                                                                                                                                                                                                                                                                              ",2016
AL,"Geneva County, Alabama                                          ",31,-85.9,10,11,6,16,"On March 10, 2009, a 28-year-old grocery worker in Geneva County, Alabama went to his mother's home to kill her and her three dogs before setting the house on fire. He then went to his uncle's house, killing him, two of his cousins, two neighbors and wounded an aunt and an infant neighbor. He then went next-door and killed his grandmother before fleeing the scene. He killed three passers by and shot at anyone trying to flee or stop him. In total, ten were killed and six were wounded. He committed suicide as police attempted to detai",2009
AL,Cottonwood                                                      ,31.1,-85.3,2,3,1,3,"On Sunday night of March 15, the man broke into a house and killed two people including his wife and shot another person before turning the gun on himself.                                                                                                                                                                                                                                                                                                                                                                                               ",2015
AL,Ensley Birmingham                                               ,33.5,-86.8,5,5,0,5,"Three teenagers attempted to rob a house in the early morning of January 29, 2012. Five people were in the house playing cards, and each was shot to death in the back of the head; four of their bodies were found naked in bedroom, and one had been shot 12 times.                                                                                                                                                                                                                                                                                     ",2012
AK,Bethel Regional High School                                     ,60.8,-161.8,2,2,2,4,"On February 19, 1997, a 16-year-old student at Bethel Regional High School in Bethel, Alaska arrived on campus and shot a popular student, killing him. He later shot and killed the school's principal and wounded two others before being arrested.                                                                                                                                                                                                                                                                                                     ",1997
AZ,South Mountain Community College                                ,33.6,-112.1,0,0,3,3,"On July 24, 2008, a 24-year-old man arrived at the South Mountain Community College in Phoenix, Arizona. He began shooting at two men who had hospitalized him seven months prior and a third was wounded in the incident before the shooter was arrested. No fatalities resulted from the shooting.                                                                                                                                                                                                                                                      ",2008
AZ,Tucson                                                          ,32.2,-111,4,5,0,4,"On May 12, 2015, the man gunned down four of his family members, including his 17-year-old niece, before fatally shooting himself in a murder-suicide.                                                                                                                                                                                                                                                                                                                                                                                                    ",2015
AZ,Mesa                                                            ,33.4,-111.8,1,1,5,6,"On March 18, 2015, the shootings started with an argument inside a motel room that spilled outside, one man dead and two women wounded. The gunman then shot another man who was working at a nearby restaurant. The gunman got away from the restaurant by carjacking the school instructor's car. The man then went to an apartment complex about 2 miles away, and shot another man. Another man was found in a neighboring apartment building with multiple gunshot wounds.                                                                           ",2015
AZ,Northern Arizona University at Flagstaff Campus                 ,35.2,-111.7,1,1,3,4,"On Friday of October 9, 2015, one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.                                                                                                                                                                                                                                                               ",2015
AZ,University of Arizona College of Nursing                        ,32.2,-111,3,4,0,3,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.                                                                                                                                                                                                                                                                                                                ",2002
AZ,Rose-Mar College of Beauty                                      ,33.4,-111.8,5,5,1,6,"On November 12, 1966, an 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa, Arizona, ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites, like his school, where he thought of wiping out the teachers. Finally, he settled on the Rose-Mar College of Beauty, where he thought he'd get a nice large group of victims.                                                                              ",1966
AZ,"Tucson, Arizona                                                 ",32.2,-111,6,6,13,19,"On January 8, 2011, a 22-year old went to a parking lot where a U.S. Representative was holding a meeting in a supermarket parking lot in Casas Adobes, near Tucson, Arizona. The gunman shot and injured the congresswoman, her intended target and then started to shoot randomly, killing six people and injuring twelve others. The shooter was subdued by bystanders and arrested by police.                                                                                                                                                         ",2011
AZ,Wat Promkunaram Buddhist Temple                                 ,33.6,-112.1,9,9,0,9,"On the evening on August 9, 1991, two high school students in the Air Force ROTC program entered a Buddhist monastery intending to steal cameras, golden religious paraphernalia and cash from the monks. After looting the monastery and holding the monks hostage, the boys decided to shoot and kill all nine occupants of the house to leave no witnesses of their crime.                                                                                                                                                                             ",1991
AZ,"Glendale, AZ House Party shooting                               ",33.5,-112.2,3,3,5,8,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.                                                                                                                                                                                                                                                                                                                                                                                               ",2016
AZ,"Glendale, Arizona                                               ",33.6,-112.2,4,5,0,4,"Five family members are dead after the son opened fire at their house on Tuesday morning. The shooter killed his father, his mother, his 18-year-old sister, and his 6-year-old sister. Police fatally shot the  shooter after a confrontation inside the home.                                                                                                                                                                                                                                                                                           ",2016
AZ,Arizona Family Murder                                           ,33.4,-112.1,4,5,0,4,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.                                                                                                                                                                                                                                                                                                                                                                                                              ,2016
AZ,Phoenix                                                         ,33.6,-112.1,4,5,0,4,"On April 16, 2015, a man who had been in a business dispute with his two brothers shot and killed them with his mother and one of their wives before taking his own life.                                                                                                                                                                                                                                                                                                                                                                                 ",2015
AZ,Phoenix Law Firm                                                ,33.6,-112.1,2,3,1,3,"On January 30, 2013, a 70-year old man attended a mediation session at a law firm in Phoenix, Arizona. At the end of the session he shot three people at the entrance of the building, killing the two man involved in the session with him and wounding a third person. The shooter fled the scene, firing at a man who followed him. He later died from a self-inflicted gunshot wound.                                                                                                                                                                 ",2013
AR,Westside Middle School                                          ,35.8,-90.7,5,5,10,15,"On March 24, 1998, a 13-year-old boy stole his mother's car that he and an 11-year-old cousin had loaded with guns and ammunition. When they arrived to Westside Middle School in Jonesboro, Arkansas, the younger boy pulled the fire alarm and met the elder on a hill overlooking the evacuation meeting site. They boys then began shooting at the crowd, killing four students and a teacher and wounding ten others before being arrested.                                                                                                          ",1998
AR,University of Central Arkansas                                  ,35.1,-92.4,2,0,1,3,"On October 26, 2008, four men between the ages of 19 and 20 arrived at a dormitory at the University of Central Arkansas in Conway, Arkansas and began shooting. The shooters killed two students and wounded a visitor before being arrested.                                                                                                                                                                                                                                                                                                            ",2008
CA,"Ladera Ranch, Santa Ana, Tustin and Orange                      ",33.5,-117.6,3,4,3,6,"On February 19, 2013, a 20-year old unemployed, part-time student killed a 20-year old woman at his parent's house. The shooter's parents called 911 when they heard the noise. He drove off in his parents car and went on a killing spree carjacking several cars and shooting at commuters, drivers, and construction workers. He committed suicide when police were approaching. The shooter had left a suicide note that he wrote within an hour of the 911 call his parents made.                                                                   ",2013
CA,Santana High School                                             ,32.9,-117.1,2,2,13,15,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.                                                                                                                                                                                                                                                                                               ",2001
CA,Los Angeles Police Department                                   ,33.7,-117.8,4,4,2,7,"On February 3, 2013, a 33-year old former LAPD police officer shot and killed the daughter of a former LAPD captain and her fiance in a parking garage in Irvine, California. The shooter fled the scene and a large manhunt followed until February 12, 2013, during a stand-off  with police at a cabin in the San Bernardino Mountains. The shooter killed one police officer and injured another one before he committed suicide. It is not clear if he took his life before or after the police started to burn down the cabin where he was holed up.",2013
CA,"Los Angeles, CA street shooting                                 ",34.1,-118.2,1,1,3,4,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.                                                                                                                                                                                                                                                                                                                                                                                           ",2016
CA,Orange Glenn Post Office                                        ,33.1,-117.1,3,4,1,4,"On August 10, 1989, a 52-year-old ""model"" postal worker murdered his wife in their home before arriving to work at the Orange Glen Post Office in Escondido, California. He then shot and killed two co-workers and injured another before taking the gun to his own head, dying later in a hospital.                                                                                                                                                                                                                                                     ",1989
CA,"San Bernardino, California                                      ",34.1,-117.3,14,16,21,35,"On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party.            ",2015
CA,Caltrans Maintenance Yard                                       ,33.8,-117.8,4,5,2,6,"On December 18, 1997, a 41-year-old recently fired Caltrans employee arrived to his former office and began shooting at his former coworkers and supervisors. He killed four employees and wounded another and a police officer before being killed by police.                                                                                                                                                                                                                                                                                            ",1997
CA,Cal State Fullerton                                             ,33.9,-117.9,7,7,2,9,"On July 12, 1976, a 37-year-old custodian at California State University in Fullerton open fired in the library's first-floor lobby and at the building's Instructional Media Center killing seven people and wounding two others.                                                                                                                                                                                                                                                                                                                        ",1976
CA,Long Beach Street murder                                        ,33.8,-118.2,1,0,3,4,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.                                                                                                                                                                                                                                                                                                                                                                                                      ",2016
CA,Lindhurst High School                                           ,39.1,-121.6,4,4,10,14,"On May 1, 1992, a 20-year-old former student of Lindhurst High School in Olivehurst, California began shooting at students and teachers in classrooms. Seeking revenge for a failing grade, the shooter first killed the teacher who gave him that grade, later killing three students and injuring ten others before being arrested.                                                                                                                                                                                                                     ",1992
CA,"Covina, California                                              ",34.1,-117.9,9,10,2,11,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.                                                                                                                                                                                   ",2008
CA,49th Street Elementary School                                   ,34.2,-118.5,2,3,12,14,"On February 24, a 28-year-old man began shooting at children and staff leaving 49th Street Elementary School in South Central Los Angeles in California. The gunman positioned himself in a room on the second story of his home and killed two people and wounded twelve others.                                                                                                                                                                                                                                                                         ",1984
CA,Grover Cleveland Elementary School                              ,32.9,-117.1,2,2,9,11,"On January 29, 1979, a 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate.  The principal and a custodian were killed and eight children and a police officer were injured.                                                                                                                                                                         ",1979
CA,San Francisco Tenderloin                                        ,37.8,-122.4,0,0,8,8,"On the evening of March 23, 2014, the shooters were arguing with a crowd outside of a club, which prompted them to retrieve arms from their car for the attack. Eight people were wounded by the attack, and there were no fatalities. The shooters were later apprehended.                                                                                                                                                                                                                                                                               ",2014
CA,Santa Monica College                                            ,34,-118.5,5,6,3,8,"On June 7, 2013, a 23-year old killed his father and brother at their family home and then set the home on fire in Santa Monica, California. He then forced a motorist to drive him to the Santa Monica College campus. On his way there he fired at commuters. During a 13-minute shooting spree spanning roughly 1.5 miles he killed three other people and three others wounded by gun shot. The shooter was killed by the police in the Santa Monica College library.                                                                                 ",2013
CA,"Perris, CA Mexican restaurant shooting                          ",33.8,-117.2,1,1,4,5,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.                                                                                                                                                                                                                                                                                                                                                                                              ,2016
CA,Cleveland Elementary School                                     ,38,-121.3,5,6,30,35,"On January 17, 1989, an unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton, California. He set his car on fire in the parking lot, before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher, before killing himself.                                                                                                                                                                                                                                       ",1989
CA,Los Angeles Computer Learning Center                            ,34.2,-118.5,1,1,7,8,"On February 19, 1976, a 18-year-old student at a Los Angeles computer school opened fire during a test at his fellow students with a shotgun, killing one student and wounding several others. When trying to escape, he was apprehended by a security guard who exchanged fire with the shooter, leaving him critically wounded. The security guard was injured during the exchange.                                                                                                                                                                     ",1976
CA,Los Angeles International Airport (LAX)                         ,34.2,-118.5,1,1,3,4,"On November 1, 2013, an unemployed 23-year old man entered Terminal 3 at Los Angeles International Airport (LAX) in California, and pulled a rifle from his bag, killing one TSA officer and wounding two other officers and a passenger before he was wounded and captured. Witnesses said that the shooter was calmly asking people: ""Hey, are you TSA?"". If they said no, the shooter moved on.                                                                                                                                                        ",2013
CA,Riverside City Hall                                             ,33.9,-117.4,0,0,6,6,"On October 6, 1998, a 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.                                                                                                                                                                                                                                                                                ",1998
CA,Offices of Pettit & Martin in San Francisco                     ,37.8,-122.4,8,9,6,14,"On July 1, 1993, a 55-year-old failing entrepreneur entered the law offices of Pettit & Martin in the financial district of San Francisco, California. He then opened fire on the office, killing eight and wounding six others before turning the gun on himself. He had apparently targeted the law firm due to his deep hatred for lawyers arising from his failed business endeavors and a real estate consultation with the firm years before.                                                                                                       ",1993
CA,Oikos University                                                ,37.8,-122.2,7,7,3,10,"On April 2, 2012, a 43-year old former student at Oikos University, a Korean Christian college in Oakland, California, opened fired in a classroom killing seven people and injuring other three. The attacker continued to fire shots as he fled the campus, driving away in a car belonging to one of his victims. Hours later he surrendered to authorities.                                                                                                                                                                                           ",2012
CA,Isla Vista                                                      ,34.4,-119.9,3,7,7,10,"On the evening of May 23, 2014, a 22-year-old student and resident of Isla Vista stabbed two roommates and their friend to death in his apartment. He then drove to a sorority house in Isla Vista and attempted to enter the premises to no avail, and began shooting at a neighboring sorority's members, killing two and wounding another. He continued shooting between altercations with police throughout Isla Vista, killing another male student and wounding six more before committing suicide.                                                 ",2014
CA,"Vallejo, CA car shooting                                        ",38.1,-122.3,2,2,2,4,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.                                                                                                                                                                                                                                                                                                                                                                                                          ",2016
CA,Riverside restaurant shooting                                   ,34,-117.5,1,1,3,4,Shooter fired upon group of people in a restaurant parking lot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2016
CA,Electromagnetic Systems Laboratory (ESL)                        ,37.4,-122,7,7,4,11,"On February 16, 1988, a 39-year-old man arrived at his former workplace, ESL in Sunnyvale, California, and began shooting his ex-coworkers in the parking lot. After shooting through the security mechanisms on the doors of the facility, he opened fire on office equipment and employees, including a female colleague that issued a restraining order against the shooter about a week prior. The incident ended with seven fatalities and four injuries, the female coworker among the injured.                                                     ",1988
