year,state_abbr,mass_shootings
1997,AK,1
2009,AL,1
2010,AL,1
2011,AL,1
2012,AL,2
2013,AL,1
2015,AL,2
2016,AL,3
1998,AR,1
2008,AR,1
1966,AZ,1
1991,AZ,1
2002,AZ,1
2008,AZ,1
2011,AZ,1
2013,AZ,1
2015,AZ,4
2016,AZ,3
1976,CA,2
1979,CA,1
1984,CA,2
1988,CA,1
1989,CA,2
1992,CA,1
1993,CA,2
1996,CA,1
1997,CA,1
1998,CA,1
2001,CA,1
2006,CA,1
2008,CA,1
2009,CA,1
2011,CA,1
2012,CA,1
2013,CA,4
2014,CA,3
2015,CA,1
2016,CA,6
1993,CO,1
1999,CO,1
2007,CO,1
2012,CO,1
2015,CO,2
1998,CT,1
2010,CT,1
2012,CT,1
2016,DE,1
1982,FL,1
1987,FL,1
1988,FL,1
1990,FL,1
1996,FL,1
1999,FL,1
2012,FL,1
2013,FL,1
2014,FL,1
2015,FL,6
2016,FL,8
1985,GA,1
1999,GA,2
2012,GA,1
2014,GA,1
2015,GA,8
2016,GA,3
1999,HI,1
1991,IA,1
2015,ID,1
1974,IL,1
1988,IL,2
2001,IL,1
2003,IL,1
2008,IL,1
2013,IL,1
2015,IL,2
2016,IL,2
2015,IN,1
1985,KS,1
2016,KS,4
1989,KY,1
1994,KY,1
1997,KY,1
2008,KY,1
2016,KY,2
1972,LA,1
1988,LA,1
2014,LA,1
2015,LA,1
2016,LA,2
1992,MA,1
1994,MA,1
2000,MA,1
2016,MA,2
2016,MD,2
2015,ME,1
1991,MI,1
1993,MI,2
2007,MI,1
2011,MI,1
2016,MI,5
2005,MN,1
2012,MN,1
2015,MN,2
2008,MO,1
2015,MO,1
2016,MO,2
1997,MS,1
2003,MS,1
2015,MS,1
2016,MS,1
1986,MT,1
2015,MT,1
1993,NC,1
1995,NC,1
2006,NC,1
2009,NC,1
2015,NC,5
2016,NC,1
2007,NE,1
2015,NE,2
1991,NJ,1
1995,NJ,1
2015,NJ,1
2016,NJ,1
2013,NM,1
2014,NM,1
2015,NM,1
2016,NM,2
1982,NV,1
2007,NV,1
2011,NV,1
2013,NV,1
2014,NV,1
1974,NY,1
1986,NY,1
1992,NY,1
1993,NY,1
2009,NY,1
2013,NY,1
2015,NY,4
2016,NY,1
1994,OH,1
2003,OH,1
2004,OH,1
2007,OH,1
2011,OH,1
2012,OH,1
2015,OH,3
1986,OK,1
1999,OK,1
2012,OK,1
2013,OK,1
2015,OK,1
1998,OR,1
2007,OR,1
2012,OR,1
2015,OR,1
1998,PA,1
2006,PA,2
2013,PA,1
2014,PA,1
2015,PA,1
2016,PA,2
1979,SC,1
1983,SC,1
1988,SC,1
1997,SC,1
2015,SC,1
2015,SD,1
1995,TN,1
2015,TN,3
2016,TN,3
1966,TX,1
1984,TX,1
1991,TX,1
1992,TX,1
1995,TX,1
1999,TX,1
2005,TX,1
2009,TX,1
2013,TX,1
2014,TX,1
2015,TX,4
2016,TX,5
1993,UT,1
2007,UT,1
2002,VA,1
2007,VA,1
2015,VA,1
2016,VA,7
2006,VT,1
1971,WA,1
1983,WA,1
1994,WA,1
1996,WA,1
2006,WA,1
2007,WA,1
2009,WA,1
2012,WA,1
2013,WA,1
2014,WA,2
2016,WA,2
1997,WI,1
2004,WI,1
2005,WI,1
2007,WI,1
2012,WI,2
2015,WI,2
2014,WV,1
1993,WY,1
