state_abbr,year,mass_shootings
1966,"the USA",2
1971,"the USA",1
1972,"the USA",1
1974,"the USA",2
1976,"the USA",2
1979,"the USA",2
1982,"the USA",2
1983,"the USA",2
1984,"the USA",3
1985,"the USA",2
1986,"the USA",3
1987,"the USA",1
1988,"the USA",6
1989,"the USA",3
1990,"the USA",1
1991,"the USA",5
1992,"the USA",4
1993,"the USA",9
1994,"the USA",4
1995,"the USA",4
1996,"the USA",3
1997,"the USA",6
1998,"the USA",5
1999,"the USA",7
2000,"the USA",1
2001,"the USA",2
2002,"the USA",2
2003,"the USA",3
2004,"the USA",2
2005,"the USA",3
2006,"the USA",6
2007,"the USA",10
2008,"the USA",6
2009,"the USA",6
2010,"the USA",2
2011,"the USA",6
2012,"the USA",14
2013,"the USA",15
2014,"the USA",13
2015,"the USA",65
2016,"the USA",70
