Year,Num
1970,8    
1977,0    
1978,2    
1979,0    
1980,0    
1981,5    
1982,22   
1983,22   
1984,6    
1985,5    
1986,10   
1987,18   
1988,20   
1989,30   
1990,39   
1991,49   
1992,45   
1993,33   
1994,40   
1995,44   
1996,73   
1997,59   
1998,39   
1999,37   
2000,38   
2001,46   
2002,75   
2003,74   
2004,90   
2005,93   
2006,80   
2007,119  
2008,123  
2009,215  
2010,159  
2011,166  
2012,44   
2013,45   
2014,53   
2015,36   
2016,44   
2017,60   
2018,35   
2019,37   
2020,13   
