Name,Genre,Year
"""Nuke It""                                   ",Shooter         ,1998
#IDARB                                      ,Action          ,2015
#killallzombies                             ,Action          ,2015
'70s Robot Anime: Geppy-X                   ,Shooter         ,1999
'98 Koshien                                 ,Sports          ,1998
'99 Koshien                                 ,Sports          ,1999
'Splosion Man                               ,Platform        ,2009
(c-12) Final Resistance                     ,Shooter         ,2002
...Iru!                                     ,Adventure       ,1998
.deTuned                                    ,Misc            ,2009
.hack//fragment                             ,Role-Playing    ,2005
.hack//G.U. Vol.1//Rebirth                  ,Role-Playing    ,2006
.hack//G.U. Vol.2//Reminisce                ,Role-Playing    ,2007
.hack//G.U. Vol.2//Reminisce (jp sales)     ,Role-Playing    ,2007
.hack//G.U. Vol.3//Redemption               ,Role-Playing    ,2007
.hack//Infection Part 1                     ,Role-Playing    ,2003
.hack//Link                                 ,Role-Playing    ,2010
.hack//Mutation Part 2                      ,Role-Playing    ,2003
.hack//Outbreak Part 3                      ,Role-Playing    ,2003
.hack//Quarantine Part 4: The Final Chapter ,Role-Playing    ,2004
.hack: Sekai no Mukou ni + Versus           ,Misc            ,2012
0 day Attack on Earth                       ,Shooter         ,2009
0 Kara no Shogi: Shogi Youchien Ayumi Kumi R,Misc            ,2000
0 Kara no Shogi: Shogi Youchien Ayumi Kumi R,Misc            ,2010
0-ji no Kane to Cinderella: Halloween Weddin,Misc            ,2013
007 Legends                                 ,Shooter         ,2012
007 Racing                                  ,Racing          ,2000
007: License To Kill                        ,Action          ,1989
007: Quantum of Solace                      ,Action          ,2008
007: Quantum of Solace                      ,Shooter         ,2008
007: The World is Not Enough                ,Shooter         ,2000
007: The World is not Enough                ,Action          ,2001
007: Tomorrow Never Dies                    ,Shooter         ,1999
007: Tomorrow Never Dies / The World is not ,Shooter         ,2002
0x10c                                       ,Misc            ,2014
1 on 1                                      ,Sports          ,1998
1 on 1                                      ,Sports          ,2009
1 vs. 100                                   ,Misc            ,2008
1... 2... 3... KICK IT! (Drop That Beat Like,Misc            ,2011
1/2 Summer +                                ,Misc            ,2013
10 Days Under the Sea                       ,Puzzle          ,2008
10 Minute Solution                          ,Sports          ,2010
10 Pin Bowling                              ,Sports          ,1999
10 Talismans                                ,Puzzle          ,2006
"10,000 Games                                ",Action          ,2007
10-Yard Fight                               ,Sports          ,1985
10.000 Bullets                              ,Action          ,2005
100 All-Time Favorites                      ,Puzzle          ,2009
100 Classic Books                           ,Misc            ,2010
100 Classic Games                           ,Misc            ,2011
100 Doors 2013                              ,Misc            ,2012
100 Doors 3                                 ,Action          ,2014
100 DOORS : HELL PRISON ESCAPE              ,Action          ,2014
100 Doors Brain Teasers                     ,Action          ,2014
100 Doors Seasons - Part 1                  ,Action          ,2014
100 Doors Seasons - Part 2                  ,Action          ,2014
100 Doors: Floors Escape                    ,Puzzle          ,2014
100 Kiri Golf DS                            ,Sports          ,2008
100 Manyen Quiz Hunter                      ,Misc            ,1998
"100 Washitsu ""room escape game""             ",Action          ,2014
100 Wiki Quiz                               ,Action          ,2015
1000 Cooking Recipes from ELLE a table      ,Misc            ,2010
1000 Games                                  ,Action          ,2006
1000 Tiny Claws                             ,Action          ,2011
1001 Blockbusters                           ,Puzzle          ,2011
1001 Crosswords                             ,Action          ,2012
1001 Crystal Mazes Collection               ,Puzzle          ,2010
1001 Nights: The Adventures of Sindbad      ,Misc            ,2011
1001 Spikes                                 ,Action          ,2014
1001 Touch Games                            ,Action          ,2011
101 Airborne: The Airborne Invasion of Norma,Strategy        ,1998
