year;state_abbr;violentCrimePer100Capita;totalCrimePer100Capita;ViolentRatio
1979;AK;0.4911330049;12.4073891626;3.9583912336
1980;AK;0.4359956559;11.2913559715;3.8613223872
1981;AK;0.615776699;13.1898058252;4.6685804718
1982;AK;0.6237442922;12.4251141553;5.0200286649
1983;AK;0.6137787056;12.0371607516;5.0990322245
1984;AK;0.6216;12.2304;5.0824175824
1985;AK;0.5817658349;11.7539347409;4.9495411346
1986;AK;0.570411985;12.4917602996;4.5663058795
1987;AK;0.4554285714;10.755047619;4.2345565316
1988;AK;0.5228070175;9.8432748538;5.3113117871
1989;AK;0.4977229602;9.559772296;5.2064311235
1990;AK;0.5245044478;10.3053761251;5.0896196458
1991;AK;0.6138596491;11.4031578947;5.3832425613
1992;AK;0.6604770017;11.139011925;5.9294038479
1993;AK;0.7607679466;11.1358931553;6.8316742624
1994;AK;0.7663366337;11.4161716172;6.7127287445
1995;AK;0.7708609272;11.507615894;6.6987022703
1996;AK;0.7276771005;10.9008237232;6.6754322331
1997;AK;0.7011494253;10.5451559934;6.6490189972
1998;AK;0.6539087948;9.5540716612;6.8442944325
1999;AK;0.6308313156;8.7189669088;7.2351612545
2000;AK;0.5668876369;8.4988483599;6.6701700387
2001;AK;0.5894607263;8.4891813835;6.9436698271
2002;AK;0.5654094737;8.6502816915;6.5363128492
2003;AK;0.598044055;8.7193805146;6.858790645
2004;AK;0.632302301;8.0063245433;7.8975352246
2005;AK;0.6323378861;8.4941945231;7.4443537222
2006;AK;0.6880052772;8.5321608888;8.0636697569
2007;AK;0.6613234076;8.0810208961;8.1836616454
2008;AK;0.6520538604;7.15874998;9.1084876857
2009;AK;0.6333816769;7.1475919613;8.8614694335
2010;AK;0.6353042655;6.944238293;9.1486530085
2011;AK;0.6100627193;6.4957312187;9.3917481923
2012;AK;0.6041294962;6.6955403686;9.0228639208
2013;AK;0.6387171944;7.1205641437;8.970036383
2014;AK;0.6355098596;6.8637507021;9.2589298069
2015;AK;0.7307759564;7.1900979926;10.1636439048
2016;AK;0.8045614291;8.4605716351;9.509539825
2017;AK;0.8567342448;8.7974089804;9.738483759
2018;AK;0.8849557522;8.3708732124;10.571845132
1979;AL;0.4133191828;8.4876625099;4.8696467646
1980;AL;0.4485343131;9.8672887447;4.5456692789
1981;AL;0.4704545455;9.7974463739;4.801807813
1982;AL;0.4477047933;9.2671062643;4.8311175089
1983;AL;0.4160394039;8.2021217479;5.0723388006
1984;AL;0.4311779449;7.8040601504;5.525046406
1985;AL;0.4575478737;7.8842576474;5.8033095077
1986;AL;0.558006415;8.5767086109;6.5060670744
1987;AL;0.5592211609;8.9028165565;6.2813959758
1988;AL;0.558565544;9.1233826024;6.1223514164
1989;AL;0.5907965032;9.2556095192;6.3831182801
1990;AL;0.7085604146;9.8304528525;7.2078105174
1991;AL;0.8441672781;10.7312301296;7.8664539654
1992;AL;0.8716634429;10.5362185687;8.2730197486
1993;AL;0.780415572;9.7575352281;7.9980810088
1994;AL;0.6836691159;9.8060677886;6.971898733
1995;AL;0.6323536327;9.6961203856;6.5217180437
1996;AL;0.5653873157;9.6401591388;5.8649168293
1997;AL;0.5644593656;9.7794859921;5.7718715079
1998;AL;0.5120863971;9.1941636029;5.5696898508
1999;AL;0.4901985463;8.8249468748;5.5546911871
2000;AL;0.4861595197;9.0917226957;5.3472761539
2001;AL;0.4381827165;8.6300647674;5.0773977753
2002;AL;0.4449980531;8.945552654;4.9745171741
2003;AL;0.4292223816;8.9513438429;4.7950608219
2004;AL;0.4270143358;8.9125873546;4.7911377341
2005;AL;0.4326425958;8.6656478305;4.9926168741
2006;AL;0.4251548696;8.7323631287;4.8687264071
2007;AL;0.448912465;8.8532236669;5.0706102306
2008;AL;0.4528196658;9.0746691263;4.9899303159
2009;AL;0.4501022361;8.4609621153;5.3197524109
2010;AL;0.3837295976;7.8234196048;4.9048832476
2011;AL;0.4198023644;8.0503962684;5.2146795064
2012;AL;0.4502931794;7.9115679245;5.6915795163
2013;AL;0.4309891858;7.5876562579;5.6801358827
2014;AL;0.4276773059;7.2435664247;5.9042366822
2015;AL;0.4729623239;6.9415261003;6.813520789
2016;AL;0.5324094315;6.9990093703;7.6069255416
2017;AL;0.5224281659;6.9431316562;7.5243880101
2018;AL;0.51963319;6.6736212965;7.7863751464
1979;AR;0.3662385321;7.241559633;5.0574537899
1980;AR;0.335195971;7.6221182056;4.3976747926
1981;AR;0.310331299;7.5929380994;4.0871042932
1982;AR;0.3246617198;7.7430816237;4.19292648
1983;AR;0.2976804124;7.0011168385;4.2518989361
1984;AR;0.3213707961;6.7350361856;4.7716268662
1985;AR;0.3475625265;7.1700720644;4.8474063213
1986;AR;0.3948145025;7.8494097808;5.0298622897
1987;AR;0.4120184255;8.4904522613;4.8527264836
1988;AR;0.4226672172;8.439223782;5.008366031
1989;AR;0.4736907731;9.1113881962;5.1988869629
1990;AR;0.5322187836;9.7338480681;5.4677120481
1991;AR;0.5932546374;10.3498313659;5.7320222568
1992;AR;0.5765318883;9.5233847436;6.0538548405
1993;AR;0.5932755776;9.6214521452;6.1661750077
1994;AR;0.595108031;9.5974724827;6.2006745219
1995;AR;0.5531803543;9.3817230274;5.8963620292
