Average,Sales,Type
1,0.0,Games
2,31.5,Games
3,47.45454545454545,Games
4,66.17647058823529,Games
5,58.38461538461539,Games
6,106.27586206896552,Games
7,101.61290322580645,Games
8,88.05194805194805,Games
9,112.1344537815126,Games
10,117.79746835443038,Games
11,70.95652173913044,Games
12,100.23952095808383,Games
13,95.9080459770115,Games
14,109.03636363636363,Games
15,76.70484581497797,Games
16,80.24242424242425,Games
17,121.10126582278481,Games
18,106.04651162790698,Games
19,98.23529411764706,Games
20,92.35,Games
21,80.88,Games
22,78.096,Games
23,83.33720930232558,Games
24,82.59740259740259,Games
25,95.51351351351352,Games
26,85.87912087912088,Games
27,105.83783783783784,Games
28,73.80582524271844,Games
29,102.875,Games
30,109.44680851063829,Games
31,77.43243243243244,Games
32,70.23076923076923,Games
33,63.97674418604651,Games
34,80.5925925925926,Games
35,92.35714285714286,Games
36,91.45161290322581,Games
37,69.16981132075472,Games
38,93.31914893617021,Games
39,69.53571428571429,Games
40,83.26530612244898,Games
41,91.46341463414635,Games
42,58.166666666666664,Games
43,120.75,Games
44,132.0,Games
45,67.16666666666667,Games
46,52.84615384615385,Games
47,44.142857142857146,Games
48,50.57142857142857,Games
49,50.4,Games
50,45.75,Games
1,32.0,Movies
2,172.75,Movies
3,135.88,Movies
4,149.4468085106383,Movies
5,113.48717948717949,Movies
6,145.23287671232876,Movies
7,156.29545454545453,Movies
8,94.1144578313253,Movies
9,104.11413043478261,Movies
10,122.02415458937197,Movies
11,97.11979166666667,Movies
12,126.24444444444444,Movies
13,112.53614457831326,Movies
14,120.54140127388536,Movies
15,138.48076923076923,Movies
16,115.36641221374046,Movies
17,116.00763358778626,Movies
18,97.47154471544715,Movies
19,132.06060606060606,Movies
20,122.6086956521739,Movies
21,128.21428571428572,Movies
22,125.85454545454546,Movies
23,173.08510638297872,Movies
24,147.3658536585366,Movies
25,96.7741935483871,Movies
26,196.48837209302326,Movies
27,133.07142857142858,Movies
28,114.6,Movies
29,97.83333333333333,Movies
30,205.20689655172413,Movies
31,158.6153846153846,Movies
32,99.6923076923077,Movies
33,221.5,Movies
34,347.8333333333333,Movies
35,378.9166666666667,Movies
36,116.07692307692308,Movies
37,209.5,Movies
38,231.71428571428572,Movies
39,194.2,Movies
40,306.4166666666667,Movies
41,378.2,Movies
42,408.3333333333333,Movies
43,286.0,Movies
44,507.0,Movies
45,362.0,Movies
46,211.5,Movies
47,110.5,Movies
48,129.5,Movies
49,871.0,Movies
50,347.0,Movies
