Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating,Score_Diff
Space Invaders                              ,2600,1978,Shooter     ,Atari                      ,2.4,0.1,0,0,2.5,NA  ,NA  ,NA  ,NA  
Adventure                                   ,2600,1980,Adventure   ,Atari                      ,1.2,0.1,0,0,1.3,NA  ,NA  ,NA  ,NA  
Boxing                                      ,2600,1980,Fighting    ,Activision                 ,0.7,0,0,0,0.8,NA  ,NA  ,NA  ,NA  
Kaboom!                                     ,2600,1980,Misc        ,Activision                 ,1.1,0.1,0,0,1.1,NA  ,NA  ,NA  ,NA  
Defender                                    ,2600,1980,Misc        ,Atari                      ,1,0.1,0,0,1.1,NA  ,NA  ,NA  ,NA  
Asteroids                                   ,2600,1980,Shooter     ,Atari                      ,4,0.3,0,0.1,4.3,NA  ,NA  ,NA  ,NA  
Missile Command                             ,2600,1980,Shooter     ,Atari                      ,2.6,0.2,0,0,2.8,NA  ,NA  ,NA  ,NA  
Ice Hockey                                  ,2600,1980,Sports      ,Activision                 ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Frogger                                     ,2600,1981,Action      ,Parker Bros.               ,2.1,0.1,0,0,2.2,NA  ,NA  ,NA  ,NA  
E.T.: The Extra Terrestrial                 ,2600,1981,Action      ,Atari                      ,1.8,0.1,0,0,2,NA  ,NA  ,NA  ,NA  
Spider-Man                                  ,2600,1981,Action      ,Parker Bros.               ,0.9,0.1,0,0,0.9,NA  ,NA  ,NA  ,NA  
Custer's Revenge                            ,2600,1981,Action      ,Mystique                   ,0.8,0.1,0,0,0.8,NA  ,NA  ,NA  ,NA  
Alien                                       ,2600,1981,Action      ,20th Century Fox Video Game,0.7,0,0,0,0.8,NA  ,NA  ,NA  ,NA  
Air Raid                                    ,2600,1981,Action      ,Men-A-Vision               ,0.7,0,0,0,0.8,NA  ,NA  ,NA  ,NA  
King Kong                                   ,2600,1981,Action      ,Tigervision                ,0.7,0,0,0,0.7,NA  ,NA  ,NA  ,NA  
Adventures of Tron                          ,2600,1981,Action      ,Mattel Interactive         ,0.6,0,0,0,0.7,NA  ,NA  ,NA  ,NA  
Smurf: Rescue In Gargamel's Castle          ,2600,1981,Action      ,Coleco                     ,0.6,0,0,0,0.6,NA  ,NA  ,NA  ,NA  
Raiders of the Lost Ark                     ,2600,1981,Action      ,Atari                      ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Jawbreaker                                  ,2600,1981,Action      ,Tigervision                ,0.4,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Barnstorming                                ,2600,1981,Action      ,Activision                 ,0.4,0,0,0,0.4,NA  ,NA  ,NA  ,NA  
Mouse Trap                                  ,2600,1981,Action      ,Coleco                     ,0.4,0,0,0,0.4,NA  ,NA  ,NA  ,NA  
Laser Blast                                 ,2600,1981,Action      ,Activision                 ,0.4,0,0,0,0.4,NA  ,NA  ,NA  ,NA  
Airlock                                     ,2600,1981,Action      ,Data Age                   ,0.4,0,0,0,0.4,NA  ,NA  ,NA  ,NA  
Pitfall!                                    ,2600,1981,Platform    ,Activision                 ,4.2,0.2,0,0.1,4.5,NA  ,NA  ,NA  ,NA  
Donkey Kong                                 ,2600,1981,Platform    ,Coleco                     ,1.4,0.1,0,0,1.5,NA  ,NA  ,NA  ,NA  
Donkey Kong Junior                          ,2600,1981,Platform    ,Atari                      ,0.9,0.1,0,0,1,NA  ,NA  ,NA  ,NA  
Ms. Pac-Man                                 ,2600,1981,Puzzle      ,Atari                      ,1.5,0.1,0,0,1.6,NA  ,NA  ,NA  ,NA  
BurgerTime                                  ,2600,1981,Puzzle      ,Mattel Interactive         ,0.6,0,0,0,0.6,NA  ,NA  ,NA  ,NA  
Grand Prix                                  ,2600,1981,Racing      ,Activision                 ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Demon Attack                                ,2600,1981,Shooter     ,Imagic                     ,2,0.1,0,0,2.1,NA  ,NA  ,NA  ,NA  
River Raid                                  ,2600,1981,Shooter     ,Activision                 ,1.5,0.1,0,0,1.6,NA  ,NA  ,NA  ,NA  
Centipede                                   ,2600,1981,Shooter     ,Atari                      ,1.3,0.1,0,0,1.4,NA  ,NA  ,NA  ,NA  
Atlantis                                    ,2600,1981,Shooter     ,Imagic                     ,1.2,0.1,0,0,1.3,NA  ,NA  ,NA  ,NA  
Megamania                                   ,2600,1981,Shooter     ,Activision                 ,1,0.1,0,0,1.1,NA  ,NA  ,NA  ,NA  
Cosmic Ark                                  ,2600,1981,Shooter     ,Imagic                     ,1,0.1,0,0,1.1,NA  ,NA  ,NA  ,NA  
Berzerk                                     ,2600,1981,Shooter     ,Atari                      ,0.7,0,0,0,0.7,NA  ,NA  ,NA  ,NA  
Phoenix                                     ,2600,1981,Simulation  ,Atari                      ,0.4,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Keystone Kapers                             ,2600,1982,Action      ,Activision                 ,0.6,0,0,0,0.7,NA  ,NA  ,NA  ,NA  
X-Man                                       ,2600,1982,Action      ,Universal Gamex            ,0.6,0,0,0,0.6,NA  ,NA  ,NA  ,NA  
Halloween                                   ,2600,1982,Action      ,Wizard Video Games         ,0.6,0,0,0,0.6,NA  ,NA  ,NA  ,NA  
Action Force                                ,2600,1982,Action      ,CPG Products               ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Gauntlet                                    ,2600,1982,Action      ,Answer Software            ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Congo Bongo                                 ,2600,1982,Action      ,Sega                       ,0.4,0,0,0,0.4,NA  ,NA  ,NA  ,NA  
Enduro                                      ,2600,1982,Misc        ,Quelle                     ,0.8,0.1,0,0,0.9,NA  ,NA  ,NA  ,NA  
Mario Bros.                                 ,2600,1982,Platform    ,Atari                      ,1.5,0.1,0,0,1.6,NA  ,NA  ,NA  ,NA  
Jungle Hunt                                 ,2600,1982,Platform    ,Atari                      ,1,0.1,0,0,1.1,NA  ,NA  ,NA  ,NA  
Joust                                       ,2600,1982,Platform    ,Atari                      ,1,0.1,0,0,1.1,NA  ,NA  ,NA  ,NA  
Kangaroo                                    ,2600,1982,Platform    ,Atari                      ,0.7,0,0,0,0.7,NA  ,NA  ,NA  ,NA  
Popeye                                      ,2600,1982,Platform    ,Parker Bros.               ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Pac-Man                                     ,2600,1982,Puzzle      ,Atari                      ,7.3,0.5,0,0.1,7.8,NA  ,NA  ,NA  ,NA  
Dig Dug                                     ,2600,1982,Puzzle      ,Atari                      ,1.5,0.1,0,0,1.6,NA  ,NA  ,NA  ,NA  
Q*bert                                      ,2600,1982,Puzzle      ,Parker Bros.               ,0.6,0,0,0,0.6,NA  ,NA  ,NA  ,NA  
Pole Position                               ,2600,1982,Racing      ,Atari                      ,1.1,0.1,0,0,1.2,NA  ,NA  ,NA  ,NA  
Bump 'n' Jump                               ,2600,1982,Racing      ,Mattel Interactive         ,0.4,0,0,0,0.4,NA  ,NA  ,NA  ,NA  
Moon Patrol                                 ,2600,1982,Shooter     ,Atari                      ,1.1,0.1,0,0,1.1,NA  ,NA  ,NA  ,NA  
Yars' Revenge                               ,2600,1982,Shooter     ,Atari                      ,0.7,0,0,0,0.8,NA  ,NA  ,NA  ,NA  
Galaxian                                    ,2600,1982,Shooter     ,Atari                      ,0.7,0.1,0,0,0.8,NA  ,NA  ,NA  ,NA  
Battlezone                                  ,2600,1982,Shooter     ,Atari                      ,0.6,0,0,0,0.6,NA  ,NA  ,NA  ,NA  
Chopper Command                             ,2600,1982,Shooter     ,Activision                 ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
The Activision Decathlon                    ,2600,1982,Sports      ,Activision                 ,0.5,0,0,0,0.6,NA  ,NA  ,NA  ,NA  
RealSports Tennis                           ,2600,1982,Sports      ,Atari                      ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Crystal Castles                             ,2600,1983,Action      ,Atari                      ,0.7,0,0,0,0.8,NA  ,NA  ,NA  ,NA  
Midnight Magic                              ,2600,1983,Action      ,Atari                      ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Gremlins                                    ,2600,1983,Action      ,Atari                      ,0.4,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Pengo                                       ,2600,1983,Adventure   ,Atari                      ,0.4,0,0,0,0.4,NA  ,NA  ,NA  ,NA  
Mahjong                                     ,NES ,1983,Misc        ,Nintendo                   ,0,0,2.1,0,2.1,NA  ,NA  ,NA  ,NA  
Mario Bros.                                 ,NES ,1983,Platform    ,Nintendo                   ,0.5,0.1,1.6,0,2.3,NA  ,NA  ,NA  ,NA  
Pitfall II: Lost Caverns                    ,2600,1983,Platform    ,Activision                 ,1.2,0.1,0,0,1.3,NA  ,NA  ,NA  ,NA  
Donkey Kong                                 ,NES ,1983,Platform    ,Nintendo                   ,0.2,0.1,0.8,0,1.1,NA  ,NA  ,NA  ,NA  
Donkey Kong Jr.                             ,NES ,1983,Platform    ,Nintendo                   ,0.3,0.1,0.7,0,1.1,NA  ,NA  ,NA  ,NA  
Popeye                                      ,NES ,1983,Platform    ,Nintendo                   ,0.5,0.1,0.5,0,1.1,NA  ,NA  ,NA  ,NA  
Jr. Pac-Man                                 ,2600,1983,Puzzle      ,Atari                      ,0.7,0.1,0,0,0.8,NA  ,NA  ,NA  ,NA  
Millipede                                   ,2600,1983,Shooter     ,Atari                      ,0.5,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Baseball                                    ,NES ,1983,Sports      ,Nintendo                   ,0.7,0.1,2.4,0,3.2,NA  ,NA  ,NA  ,NA  
Pinball                                     ,NES ,1984,Action      ,Nintendo                   ,0.8,0.2,0.8,0,1.9,NA  ,NA  ,NA  ,NA  
4 Nin uchi Mahjong                          ,NES ,1984,Misc        ,Nintendo                   ,0,0,1.4,0,1.4,NA  ,NA  ,NA  ,NA  
Mappy                                       ,NES ,1984,Platform    ,Namco Bandai Games         ,0,0,0.7,0,0.7,NA  ,NA  ,NA  ,NA  
Pac-Man                                     ,NES ,1984,Puzzle      ,Namco Bandai Games         ,0.3,0.1,0.8,0,1.2,NA  ,NA  ,NA  ,NA  
Lode Runner                                 ,NES ,1984,Puzzle      ,Hudson Soft                ,0,0,1.1,0,1.1,NA  ,NA  ,NA  ,NA  
Clu Clu Land                                ,NES ,1984,Puzzle      ,Nintendo                   ,0.4,0.1,0.3,0,0.8,NA  ,NA  ,NA  ,NA  
Excitebike                                  ,NES ,1984,Racing      ,Nintendo                   ,2,0.5,1.6,0.1,4.2,NA  ,NA  ,NA  ,NA  
F1 Race                                     ,NES ,1984,Racing      ,Nintendo                   ,0,0,1.5,0,1.5,NA  ,NA  ,NA  ,NA  
Duck Hunt                                   ,NES ,1984,Shooter     ,Nintendo                   ,26.9,0.6,0.3,0.5,28.3,NA  ,NA  ,NA  ,NA  
Xevious                                     ,NES ,1984,Shooter     ,Namco Bandai Games         ,0.2,0.1,1.3,0,1.5,NA  ,NA  ,NA  ,NA  
Hogan's Alley                               ,NES ,1984,Shooter     ,Nintendo                   ,0.7,0.2,0.4,0,1.3,NA  ,NA  ,NA  ,NA  
Golf                                        ,NES ,1984,Sports      ,Nintendo                   ,1.2,0.3,2.5,0,4,NA  ,NA  ,NA  ,NA  
Tennis                                      ,NES ,1984,Sports      ,Nintendo                   ,0.5,0.1,1.6,0,2.2,NA  ,NA  ,NA  ,NA  
Kung Fu                                     ,NES ,1985,Action      ,Nintendo                   ,1.6,0.4,1.4,0.1,3.5,NA  ,NA  ,NA  ,NA  
Tag Team Match M.U.S.C.L.E.                 ,NES ,1985,Fighting    ,Namco Bandai Games         ,0,0,1.1,0,1.1,NA  ,NA  ,NA  ,NA  
Super Mario Bros.                           ,NES ,1985,Platform    ,Nintendo                   ,29.1,3.6,6.8,0.8,40.2,NA  ,NA  ,NA  ,NA  
Ice Climber                                 ,NES ,1985,Platform    ,Nintendo                   ,0.5,0.1,0.9,0,1.5,NA  ,NA  ,NA  ,NA  
Balloon Fight                               ,NES ,1985,Platform    ,Nintendo                   ,0.4,0.1,0.4,0,0.9,NA  ,NA  ,NA  ,NA  
Wrecking Crew                               ,NES ,1985,Platform    ,Nintendo                   ,0,0,0.5,0,0.5,NA  ,NA  ,NA  ,NA  
Gyromite                                    ,NES ,1985,Puzzle      ,Nintendo                   ,0.7,0.2,0.4,0,1.3,NA  ,NA  ,NA  ,NA  
Bomberman                                   ,NES ,1985,Puzzle      ,Hudson Soft                ,0.2,0,0.8,0,1,NA  ,NA  ,NA  ,NA  
Ghostbusters                                ,2600,1985,Puzzle      ,Activision                 ,0.4,0,0,0,0.5,NA  ,NA  ,NA  ,NA  
Dig Dug                                     ,NES ,1985,Puzzle      ,Namco Bandai Games         ,0,0,0.4,0,0.4,NA  ,NA  ,NA  ,NA  
1942                                        ,NES ,1985,Shooter     ,Capcom                     ,0.7,0.1,0.2,0,1,NA  ,NA  ,NA  ,NA  
Soccer                                      ,NES ,1985,Sports      ,Nintendo                   ,0.2,0.2,1.5,0,2,NA  ,NA  ,NA  ,NA  
The Legend of Zelda                         ,NES ,1986,Action      ,Nintendo                   ,3.7,0.9,1.7,0.1,6.5,NA  ,NA  ,NA  ,NA  
Metroid                                     ,NES ,1986,Action      ,Nintendo                   ,1.3,0.3,1,0.1,2.7,NA  ,NA  ,NA  ,NA  
Ghosts 'n Goblins                           ,NES ,1986,Action      ,Capcom                     ,0.7,0.3,0.6,0,1.6,NA  ,NA  ,NA  ,NA  
Doraemon                                    ,NES ,1986,Action      ,Hudson Soft                ,0,0,1.1,0,1.1,NA  ,NA  ,NA  ,NA  
Commando                                    ,NES ,1986,Action      ,Capcom                     ,0.7,0.2,0.2,0,1.1,NA  ,NA  ,NA  ,NA  
The Mysterious Murasame Castle              ,NES ,1986,Action      ,Nintendo                   ,0,0,0.6,0,0.6,NA  ,NA  ,NA  ,NA  
Super Mario Bros.: The Lost Levels          ,NES ,1986,Platform    ,Nintendo                   ,0,0,2.6,0,2.6,NA  ,NA  ,NA  ,NA  
Kid Icarus                                  ,NES ,1986,Platform    ,Nintendo                   ,0.5,0.1,1.1,0,1.8,NA  ,NA  ,NA  ,NA  
Ninja Hattori Kun: Ninja wa Shuugyou Degogir,NES ,1986,Platform    ,Hudson Soft                ,0,0,1.5,0,1.5,NA  ,NA  ,NA  ,NA  
Castlevania                                 ,NES ,1986,Platform    ,Konami Digital Entertainmen,0.5,0.1,0.6,0,1.2,NA  ,NA  ,NA  ,NA  
Ganbare Goemon! Karakuri Douchuu            ,NES ,1986,Platform    ,Konami Digital Entertainmen,0,0,1.2,0,1.2,NA  ,NA  ,NA  ,NA  
