Year,Score_diff,NA,EU,JP,OT,Global
1996,5.0,2.3,2.0,0.1,0.2,4.6
1996,0.0,2.3,1.9,1.4,0.2,5.7
1996,1.0,3.0,1.3,1.1,0.7,6.0
1996,18.0,0.3,0.2,1.5,0.0,1.9
1996,7.0,0.0,1.6,0.0,0.0,1.6
1997,5.0,4.0,0.0,0.1,0.0,4.1
1997,9.0,4.0,3.9,2.5,0.5,10.9
1997,0.0,3.0,2.5,3.3,1.0,9.7
1997,-1.0,1.5,1.0,0.5,0.2,3.3
1997,1.0,1.1,0.2,1.9,0.2,3.4
1997,-5.0,0.8,0.4,0.0,0.1,1.2
1997,4.0,0.4,0.3,0.4,0.1,1.2
1997,13.0,0.2,0.2,0.0,0.0,0.4
1997,3.0,0.1,0.1,0.7,0.1,1.0
1997,-16.0,0.1,0.1,0.3,0.0,0.5
1998,2.0,3.7,1.8,1.4,0.3,7.1
1998,5.0,3.3,2.2,1.4,0.3,7.2
1998,0.0,3.5,2.0,1.7,0.3,7.5
1998,-3.0,2.5,1.9,2.0,0.6,6.8
1998,6.0,1.4,1.1,0.0,0.1,2.7
1998,-10.0,1.1,2.1,0.0,0.2,3.4
1998,-8.0,0.9,0.1,1.1,0.0,2.1
1998,-4.0,0.9,0.7,1.5,0.2,3.2
1998,8.0,0.4,0.1,0.5,0.0,1.0
1998,-13.0,0.3,0.2,0.1,0.0,0.6
1998,-5.0,0.3,0.1,0.7,0.0,1.1
1998,-2.0,0.1,0.1,0.4,0.0,0.7
1998,7.0,0.0,0.0,0.7,0.1,0.8
1999,3.0,3.9,3.4,1.7,0.5,9.5
1999,0.0,3.4,1.4,0.0,0.2,5.0
1999,6.0,3.1,2.8,0.0,0.3,6.3
1999,-2.0,3.4,2.1,0.9,0.3,6.7
1999,4.0,2.3,1.7,3.6,0.2,7.9
1999,1.0,1.6,0.6,0.0,0.1,2.3
1999,-10.0,0.9,0.4,0.4,0.1,1.9
1999,2.0,0.7,0.5,0.3,0.1,1.6
1999,-6.0,1.2,0.7,0.7,0.1,2.8
1999,13.0,0.6,0.4,0.7,0.1,1.9
