Year,Title,Length,Score,Sales,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7
1916,Intolerance,11,74,8,Drama,0,0,0,0,0,0
1925,The Big Parade,14,70,22,Drama,Romance,War,0,0,0,0
1927,Metropolis,10,80,0,Drama,Science Fiction,0,0,0,0,0
1929,Pandora's Box,13,76,0,Drama,Thriller,Romance,0,0,0,0
1929,The Broadway Melody,19,50,4,Drama,Music,Romance,0,0,0,0
1930,Hell's Angels,13,61,8,Action,Drama,History,0,0,0,0
1932,A Farewell to Arms,18,62,0,Drama,Romance,War,0,0,0,0
1933,42nd Street,11,61,2,Music,Comedy,Romance,0,0,0,0
1933,She Done Him Wrong,18,51,2,Comedy,0,0,0,0,0,0
1934,It Happened One Night,21,77,4,Comedy,Romance,0,0,0,0,0
1935,Top Hat,7,74,3,Comedy,Music,Romance,0,0,0,0
1936,Modern Times,12,81,8,Drama,Comedy,0,0,0,0,0
1936,The Charge of the Light Brigade,31,68,2,Action,Adventure,Drama,War,0,0,0
1937,The Prisoner of Zenda,21,84,0,Adventure,Drama,Romance,0,0,0,0
1937,Snow White and the Seven Dwarfs,31,69,184,Fantasy,Animation,Family,0,0,0,0
1938,Alexander's Ragtime Band,24,48,4,Drama,Music,Romance,0,0,0,0
1938,You Can't Take It With You,26,72,7,Comedy,Romance,0,0,0,0,0
1939,The Wizard of Oz,16,74,33,Adventure,Family,Fantasy,0,0,0,0
1939,Mr. Smith Goes to Washington,28,79,9,Comedy,Drama,0,0,0,0,0
1939,Gone with the Wind,18,77,400,Drama,Romance,War,0,0,0,0
1940,The Blue Bird,13,64,0,Drama,Family,Fantasy,0,0,0,0
1940,Pinocchio,9,69,84,Animation,Family,0,0,0,0,0
1940,Rebecca,7,77,6,Drama,Mystery,0,0,0,0,0
1940,Boom Town,9,65,9,Adventure,Drama,Romance,0,0,0,0
1940,Fantasia,8,72,83,Animation,Family,Music,0,0,0,0
1941,How Green Was My Valley,23,68,6,Drama,0,0,0,0,0,0
1942,Bambi,5,68,267,Animation,Drama,Family,0,0,0,0
1942,Casablanca,10,79,10,Drama,Romance,0,0,0,0,0
1944,A Guy Named Joe,15,60,5,Drama,Romance,War,0,0,0,0
1944,Bathing Beauty,14,70,6,Comedy,Music,0,0,0,0,0
1945,The Valley of Decision,22,58,9,Drama,0,0,0,0,0,0
1945,State Fair,10,62,0,Music,Romance,0,0,0,0,0
1945,The Lost Weekend,16,74,11,Drama,0,0,0,0,0,0
1945,Spellbound,10,73,7,Drama,Mystery,Thriller,0,0,0,0
1946,It's a Wonderful Life,21,80,9,Drama,Family,Fantasy,0,0,0,0
1946,The Best Years of Our Lives,27,76,23,Drama,History,Romance,0,0,0,0
1946,Duel in the Sun,15,62,20,Western,0,0,0,0,0,0
1947,Gentleman's Agreement,21,68,7,Drama,Romance,0,0,0,0,0
1947,The Lady from Shanghai,22,72,0,Crime,Drama,Mystery,0,0,0,0
1947,Tycoon,6,66,0,Action,Drama,Romance,0,0,0,0
1948,Open Secret,11,70,0,Crime,Mystery,Thriller,0,0,0,0
1948,The Pirate,10,66,2,Music,Romance,0,0,0,0,0
1948,Red River,9,73,9,Western,0,0,0,0,0,0
1949,She Wore a Yellow Ribbon,24,71,5,Western,0,0,0,0,0,0
1949,Sands of Iwo Jima,17,62,7,Action,Drama,History,War,0,0,0
1950,Annie Get Your Gun,18,73,8,Action,Comedy,Music,Romance,Western,0,0
1951,Show Boat,9,69,11,Music,Romance,0,0,0,0,0
1951,A Streetcar Named Desire,24,76,8,Drama,0,0,0,0,0,0
1951,Quo Vadis,9,70,30,Drama,History,Romance,0,0,0,0
1952,The Greatest Show on Earth,26,66,36,Action,Drama,Romance,0,0,0,0
1952,Deadline - U.S.A.,17,69,0,Crime,Drama,0,0,0,0,0
1952,High Noon,9,76,8,Western,0,0,0,0,0,0
1952,Singin' in the Rain,19,78,7,Comedy,Music,Romance,0,0,0,0
1953,Niagara,7,67,8,Crime,Drama,Thriller,0,0,0,0
1953,The Beast from 20,000 Fathoms,29,67,5,Adventure,Horror,Science Fiction,0,0,0,0
1953,From Here to Eternity,21,72,30,War,Drama,Romance,0,0,0,0
1953,The Robe,8,64,36,Drama,0,0,0,0,0,0
1954,Seven Samurai,13,82,0,Action,Drama,0,0,0,0,0
1954,On the Waterfront,17,80,9,Crime,Drama,0,0,0,0,0
1954,The Egyptian,12,60,15,History,Drama,0,0,0,0,0
1954,20,000 Leagues Under the Sea,28,68,28,Adventure,Drama,Science Fiction,0,0,0,0
1955,Ordet,5,78,0,Drama,0,0,0,0,0,0
1955,The Trouble with Harry,22,69,7,Comedy,Mystery,Thriller,0,0,0,0
1956,Trapeze,7,64,14,Drama,0,0,0,0,0,0
1956,Moby Dick,9,69,10,Adventure,Drama,0,0,0,0,0
1956,Love Me Tender,14,55,9,Drama,Action,Western,Music,Romance,0,0
1957,12 Angry Men,12,82,1,Drama,0,0,0,0,0,0
1957,The Bridge on the River Kwai,28,77,33,Drama,History,War,0,0,0,0
1958,Cat on a Hot Tin Roof,21,76,17,Drama,Romance,0,0,0,0,0
1959,Some Like It Hot,16,80,25,Comedy,Romance,0,0,0,0,0
1959,The Nun's Story,15,74,12,Drama,0,0,0,0,0,0
1959,Solomon and Sheba,17,54,12,Drama,History,Romance,War,0,0,0
1960,The Apartment,13,81,25,Comedy,Drama,Romance,0,0,0,0
1960,Psycho,6,82,32,Drama,Horror,Thriller,0,0,0,0
