id,value
1996,
1996.na,80.52
1996.eu,43.28
1996.jp,43.05
1996.ot,6.7
1997,
1997.na,85.58
1997.eu,43.35
1997.jp,35.12
1997.ot,7.82
1998,
1998.na,115.82
1998.eu,60.3
1998.jp,39.81
1998.ot,9.58
1999,
1999.na,111.43
1999.eu,56.35
1999.jp,43.6
1999.ot,8.93
2000,
2000.na,79.4
2000.eu,43.92
2000.jp,33.45
2000.ot,9.53
2001,
2001.na,154.79
2001.eu,83.12
2001.jp,32.56
2001.ot,19.98
2002,
2002.na,171.33
2002.eu,90.82
2002.jp,32.31
2002.ot,23.72
2003,
2003.na,155.94
2003.eu,87.49
2003.jp,27.22
2003.ot,23.41
2004,
2004.na,184.89
2004.eu,90.33
2004.jp,35.29
2004.ot,43.53
2005,
2005.na,187.27
2005.eu,103.33
2005.jp,46.11
2005.ot,35.77
2006,
2006.na,217.29
2006.eu,118.9
2006.jp,53.05
2006.ot,49.09
2007,
2007.na,258.29
2007.eu,147.89
2007.jp,39.38
2007.ot,70.6
2008,
2008.na,279.23
2008.eu,167.88
2008.jp,40.03
2008.ot,71.86
2009,
2009.na,260.99
2009.eu,161.23
2009.jp,44.99
2009.ot,60.96
2010,
2010.na,243.85
2010.eu,148.13
2010.jp,40.33
2010.ot,49.62
2011,
2011.na,192.71
2011.eu,136.92
2011.jp,30.39
2011.ot,43.83
2012,
2012.na,137.5
2012.eu,102.26
2012.jp,33.57
2012.ot,32.67
2013,
2013.na,141.31
2013.eu,110.28
2013.jp,32.5
2013.ot,35.03
2014,
2014.na,119.13
2014.eu,109.93
2014.jp,25.68
2014.ot,33.17
2015,
2015.na,94.29
2015.eu,83.67
2015.jp,21.02
2015.ot,26.89
2016,
2016.na,35.15
2016.eu,38.85
2016.jp,8.39
2016.ot,11.52
