name,state_abbr,Year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,TotalCrime
Alabama       ,AL,1979,AL,3769000,15578,496,1037,               ,4127,9918,144372,48517,83791,12064,319900
Alabama       ,AL,1980,AL,3861466,17320,509,1158,               ,5102,10551,173191,58952,102029,12210,381022
Alabama       ,AL,1981,AL,3916000,18423,465,1021,               ,4952,11985,173411,56811,105471,11129,383668
Alabama       ,AL,1982,AL,3943000,17653,417,1026,               ,4417,11793,165048,49531,104740,10777,365402
Alabama       ,AL,1983,AL,3959000,16471,364,931,               ,3895,11281,145890,42485,94279,9126,324722
Alabama       ,AL,1984,AL,3990000,17204,374,1002,               ,3833,11995,138487,39970,89198,9319,311382
Alabama       ,AL,1985,AL,4021000,18398,396,1079,               ,4237,12686,140115,41612,88108,10395,317026
Alabama       ,AL,1986,AL,4053000,22616,409,1150,               ,4523,16534,151191,46974,93396,10821,347614
Alabama       ,AL,1987,AL,4083000,22833,380,1137,               ,4581,16735,158918,48927,99260,10731,363502
Alabama       ,AL,1988,AL,4127000,23052,408,1228,               ,4860,16556,165209,50920,103282,11007,376522
Alabama       ,AL,1989,AL,4118000,24329,421,1276,               ,5515,17117,166244,47224,106771,12249,381146
Alabama       ,AL,1990,AL,4040587,28630,467,1319,               ,5805,21039,169974,44585,111336,14053,397208
Alabama       ,AL,1991,AL,4089000,34518,469,1455,               ,6246,26348,184882,51873,118151,14858,438800
Alabama       ,AL,1992,AL,4136000,36052,455,1704,               ,6819,27074,181837,49053,117801,14983,435778
Alabama       ,AL,1993,AL,4187000,32676,484,1471,               ,6677,24044,171598,45578,111878,14142,408548
Alabama       ,AL,1994,AL,4219000,28844,501,1487,               ,7223,19633,178015,44064,119951,14000,413718
Alabama       ,AL,1995,AL,4253000,26894,475,1350,               ,7900,17169,179294,43586,120967,14741,412376
Alabama       ,AL,1996,AL,4273000,24159,444,1397,               ,7124,15194,181803,42821,123350,15632,411924
Alabama       ,AL,1997,AL,4319000,24379,426,1396,               ,6931,15626,186809,43786,127616,15407,422376
Alabama       ,AL,1998,AL,4352000,22286,354,1443,               ,5698,14791,177779,41965,120943,14871,400130
Alabama       ,AL,1999,AL,4369862,21421,345,1513,               ,5297,14266,171398,38648,119616,13134,385638
Alabama       ,AL,2000,AL,4447100,21620,329,1482,               ,5702,14107,180539,40331,127399,12809,404318
Alabama       ,AL,2001,AL,4468912,19582,379,1369,               ,5584,12250,173253,40642,119992,12619,385670
Alabama       ,AL,2002,AL,4478896,19931,303,1664,               ,5962,12002,180400,42578,123932,13890,400662
Alabama       ,AL,2003,AL,4503726,19331,299,1656,               ,6038,11338,182241,43245,124039,14957,403144
Alabama       ,AL,2004,AL,4525375,19324,254,1742,               ,6042,11286,182340,44666,123650,14024,403328
